,Issue#,Title,Owner,Description,Labels,Reviewers,Assignees,Opened time,Closed time,Changed Files,Commits,Events,Participants,Number of Comments,Merged,owner profile,project,url,label
123812.0,18706.0,Add GCViT example with multi-backend support,awsaf49,"This PR adds example to implement and fine-tune Global Context Vision Transfer  (GCViT) as mentioned in #18696. I had to make quite a few changes to support multi-backend compatibility from TF2.0. For instance, I converted all pre-trained weights (since the current format doesn't support '/' in weight names), changed `tf.gather()` to `ops.take`,  `tf.unstack()` to `ops.split`, and so on.



For the markdown, I essentially copy-pasted my Kaggle notebook, so I'm open to any suggestions to tailor it for `keras.io`.



This work has been quite fun; it's surreal to see **the same model and code run on TensorFlow, PyTorch, and JAX**. This notebook demonstrates the true potential of the multi-backend capabilities of Keras and highlights why the research community should consider using it to reach a vast majority of the community.",['size:XL'],['fchollet'],['gbaned'],2023-10-30 16:45:15,2023-12-01 16:52:19,examples/keras_io/vision/image_classification_using_global_context_vision_transformer.py,"['738aef99a2b831d4f208374dc0154e40b0cb192a', '0348daa9df00a30cc03638d9c17a7c6e3681909d', '133ba08709d1dead4442212214a7a031aa2436c3', 'f0b619bb5f809fae4f9c5760c312476da52f246c', '4ae3c690691e9e98008545f3e15bba4901793345', '997e497a10dd8a73a585ff622a894b223ef471f1', '1288da139fb906bb5eba1a9f972fe16852352eac', '56d8d31ea4e79f0384663dfa1f15899bcab9d01e', '9841858715e8c55a1719cc538f9ae938515c76d6', '34e1b9f8cf4e33cd190b58b83d7da84bb0a40a19', 'db9587ef4037deed82dafccddc0db2d13769928b', 'c821fd73cb68d728079a3c1bcca4c1659e20ef5b', 'd353fffe09af9f52fd13fc318d60b78427ee6834', 'be69dbf683ee05965afd30e999c2334629c4a8b6', '82abf3570f2b790260efcbf03101a928729a80c4', 'b1b16daa38fffa78c0d105b20d76dbdff0d7813b', '0b1a3d47080e2b9ab2e8fcfeee1309f804640b94', '42137a90213289af42e788f4df1ef5575dbf12e4', '8c3fbc2f7590e373fa88c2cd65e6e8f69e0d7efc', '1135a5cfb629f0168ba7af90cba3bc1ce89563cd', '0e2f4572e03250b6cf409a89699a6c2f6b6eb7b4', 'e5617b46a6b3802f62e170cf2aa6035996eb906f', '2db2b76a54769bae5924e4b3bcac49f1e0121ff5', '097da4bd2a3b787dde52d1ad75f76162be468c62', '5896d4676defca240ebe2dba3e70ffb2f10695d9', 'f4a6aecc5bdb1f89e8fff29ffcf41ae91720a8e1', '8100c0ffa52b759503791d8e1012085aeca51203', '109091fc580fb7b2ea8922b53ab0adb35bd4b6f3', 'b8960afb0dcbc259a2d031d33b34271b76af22af', '35044ad3c4a9c49c82891654e34d983abf4817ac', '8014e17f35f1362e950ead8113140a40b6a8caed', 'c0138c348b082c23bb2e5401d53177b0b72f8d5b', 'e8cc697901ac161e96c523cbe4ea29984c18f3e4', 'bb0b4734c297a3d3593be5a881f5dfe080cabf06', '782d10c43789089da3b240fe19661bd50a36644a', '917ff9e5127a7d552e157b6d662e4bbbe94ae4eb', '136ce91c725110ef8922fc14665f7dfaad398097']","google-ml-butler[bot] labeled 2023-10-30 16:45:18,gbaned assigned 2023-10-30 16:45:19,fchollet mentioned 2023-10-30 16:46:36,fchollet subscribed 2023-10-30 16:46:36,fchollet mentioned 2023-11-02 12:30:14,fchollet subscribed 2023-11-02 12:30:14,gbaned added_to_project 2023-11-03 04:17:04,fchollet mentioned 2023-11-04 03:38:34,fchollet subscribed 2023-11-04 03:38:34,fchollet mentioned 2023-11-15 13:10:59,fchollet subscribed 2023-11-15 13:10:59,sachinprasadhs labeled 2023-11-15 19:49:33,gbaned unlabeled 2023-11-23 09:17:00,gbaned labeled 2023-11-23 09:17:00,gbaned review_requested 2023-11-28 04:52:19,google-ml-butler[bot] labeled 2023-11-28 04:52:22,fchollet mentioned 2023-11-30 02:35:10,fchollet subscribed 2023-11-30 02:35:10,google-ml-butler[bot] unlabeled 2023-11-30 02:35:11,fchollet mentioned 2023-11-30 06:27:48,fchollet subscribed 2023-11-30 06:27:48,awsaf49 closed 2023-12-01 16:52:19,awsaf49 moved_columns_in_project 2023-12-01 16:52:20,google-ml-butler[bot] unlabeled 2023-12-01 16:52:22","['codecov-commenter', 'sachinprasadhs', 'awsaf49', 'gbaned', 'fchollet', 'google-ml-butler[bot]']",53,False,ca,keras,https://github.com/keras-team/keras/pull/18706,Environmental-Dependent Processing
141421.0,3221.0,Fix protoc gen mypy wrapper,daquexian,"It is incorrect to use `$PWD` and `%0` in these wrapper scripts. `$PWD` and `%0` are the directory where the user executes cmake, so they will be wrong in some cases (e.g. onnx is used as a submodule of another project)",[],"['askhade', 'jcwchen']",[],2021-01-17 7:29:11,2021-01-25 22:04:48,onnx/cpp2py_export.cc .gitignore onnx/test/checker_test.py onnx/shape_inference.py onnx/version_converter.py tools/protoc-gen-mypy.sh.in CMakeLists.txt onnx/shape_inference/implementation.h .github/workflows/release_mac.yml onnx/onnx_cpp2py_export/version_converter.pyi onnx/defs/shape_inference.h onnx/shape_inference/implementation.cc onnx/test/shape_inference_test.py onnx/onnx_cpp2py_export/defs.pyi onnx/defs/__init__.py .github/workflows/release_win.yml onnx/onnx_cpp2py_export/shape_inference.pyi tools/protoc-gen-mypy.bat,"['6fdfbf79143439303ccb0877ee28d06f2e0de7b0', '31217b5472ff5840e68ea58bdc22e123b934c4d7', 'aa97af3c4e41af6f9a36213d033f13b9d49d84ec', '9d17960433ab20c25bc393649aeb43f827bdffea']","daquexian review_requested 2021-01-17 07:29:11,jcwchen referenced 2021-01-25 22:04:48,jcwchen merged 2021-01-25 22:04:48,jcwchen closed 2021-01-25 22:04:48","['daquexian', 'askhade', 'jcwchen']",0,True,ca,onnx,https://github.com/onnx/onnx/pull/3221,Environmental-Dependent Processing
96491.0,109707.0,[Reland] Remove calls of c10::either,cyyever,"While there were FB issues encountered when removing c10::either #109299 , we should be able to change OSS code first.



cc @clee2000 

",['release notes: jit'],[],[],2023-09-20 10:07:29,2023-09-20 10:08:23,c10/util/either.h torch/csrc/jit/frontend/function_schema_parser.cpp c10/test/util/either_test.cpp aten/src/ATen/core/op_registration/op_registration.cpp aten/src/ATen/core/library.cpp torch/csrc/jit/runtime/operator.h torch/library.h aten/src/ATen/core/dispatch/OperatorEntry.h aten/src/ATen/core/op_registration/op_registration.h torch/csrc/jit/frontend/function_schema_parser.h,['04a5cfa7da51fae3c32d5dc008132e9a77fab9dd'],"clee2000 mentioned 2023-09-20 10:07:30,clee2000 subscribed 2023-09-20 10:07:30,pytorch-bot[bot] labeled 2023-09-20 10:07:33,cyyever closed 2023-09-20 10:08:23,cyyever head_ref_deleted 2023-10-04 14:11:02,pytorchmergebot referenced 2023-10-06 00:25:23","['clee2000', 'cyyever', 'pytorchmergebot', 'pytorch-bot[bot']",1,False,ca,pytorch,https://github.com/pytorch/pytorch/pull/109707,Environmental-Dependent Processing
34432.0,18530.0,Clarify error text of the pin_memory function,VitalyFedyunin,,[],"['zou3519', 'facebook-github-bot']",[],2019-03-27 18:04:10,2019-03-27 21:58:12,aten/src/ATen/native/Memory.cpp,['2bd9efc6c170c47b86fa78e630c0c92ef1655ad8'],"VitalyFedyunin review_requested 2019-03-27 18:04:11,facebook-github-bot closed 2019-03-27 21:58:13,zdevito referenced 2019-03-27 22:52:29,facebook-github-bot labeled 2019-03-27 23:33:15,VitalyFedyunin mentioned 2019-03-27 23:33:15,VitalyFedyunin subscribed 2019-03-27 23:33:15","['VitalyFedyunin', 'zou3519', 'zdevito', 'facebook-github-bot']",1,,ca,pytorch,https://github.com/pytorch/pytorch/pull/18530,Environmental-Dependent Processing
24889.0,2990.0,Cleanup: remove useCurrentStream function,zou3519,"Because this function is a one-liner, delete it and replace all instances of useCurrentStream with its previous definition in the code.



### Test Plan

`python setup.py build develop`",[],[],[],2017-10-05 17:38:44,2017-10-06 3:05:00,torch/csrc/cudnn/AffineGridGenerator.cpp torch/csrc/cudnn/Conv.cpp torch/csrc/cudnn/GridSampler.cpp torch/csrc/cudnn/Handles.h torch/csrc/cudnn/Handles.cpp torch/csrc/cudnn/BatchNorm.cpp,['ba135af2dc185c92bb18ca277969c9e214c4aaa7'],"soumith referenced 2017-10-06 03:04:59,soumith merged 2017-10-06 03:05:00,soumith closed 2017-10-06 03:05:00","['zou3519', 'soumith']",0,True,ca,pytorch,https://github.com/pytorch/pytorch/pull/2990,Environmental-Dependent Processing
46814.0,36967.0,Enable test_hardsigmoid_grad_xla on pytorch side,JackCaoG,hardsigmoid_backward is implemented in xla side so the test will not error out but is really slow due to a lot of recompile. Enable the test on the pytorch side but skip it in xla side so xla can control when to enable the test,"['open source', 'Merged']","['ailzhang', 'facebook-github-bot']",[],2020-04-20 23:52:41,2020-04-21 4:23:29,test/test_nn.py,['594b07ac2383ee36c0b6be7aedd83b21d4afb1d3'],"JackCaoG review_requested 2020-04-20 23:52:49,pytorchbot labeled 2020-04-21 00:01:13,facebook-github-bot referenced 2020-04-21 04:23:29,facebook-github-bot closed 2020-04-21 04:23:29,facebook-github-bot labeled 2020-04-21 06:12:35,ailzhang mentioned 2020-04-21 06:12:36,ailzhang subscribed 2020-04-21 06:12:36,mruberry labeled 2020-10-28 08:31:04","['ailzhang', 'facebook-github-bot', 'pytorchbot', 'mruberry', 'JackCaoG']",1,True,ca,pytorch,https://github.com/pytorch/pytorch/pull/36967,Environmental-Dependent Processing
26173.0,5401.0,Check if CXX compiler supports all the needed functions,sdmonov,"This commit improves the code for PR #5230 according to

@ezyang comments. Instead of checking ubuntu/gcc versions it

checks the support for the needed functions from the C++ compiler

using CHECK_CXX_SOURCE_COMPILES.



Fixes: #5229",['open source'],[],[],2018-02-24 22:52:35,2018-02-28 5:22:35,aten/CMakeLists.txt,"['509f88688c9085123a6efd6ac47bfe5379676d55', '8c2fc990372e05b02b6b32828b6aac7c62fb4aec']","ezyang mentioned 2018-02-24 22:52:35,ezyang subscribed 2018-02-24 22:52:35,ezyang referenced 2018-02-28 05:22:35,ezyang merged 2018-02-28 05:22:35,ezyang closed 2018-02-28 05:22:35,ezyang referenced 2018-03-01 17:16:17,li-roy referenced 2018-03-02 00:19:56,ezyang labeled 2019-06-24 22:21:41,xuhdev referenced 2021-07-16 22:34:12,facebook-github-bot referenced 2021-07-19 20:06:27","['xuhdev', 'facebook-github-bot', 'li-roy', 'ezyang', 'sdmonov']",1,True,ca,pytorch,https://github.com/pytorch/pytorch/pull/5401,Environmental-Dependent Processing
76904.0,80328.0,Only sync CUDA if the operation is run on GPU,Flamefire,"This fixes test failures when PyTorch is build without CUDA



Fixes https://github.com/pytorch/pytorch/issues/58563



I used the same is_cuda check that is used in test_nn.py



CC @ailzhang after #58564","['cla signed', 'open source', 'Merged', 'triaged']",['mruberry'],[],2022-06-27 9:50:49,2022-06-27 14:49:43,test/test_torch.py,['511998cc007aed6828d77176eda5aa3858f229b2'],"ailzhang mentioned 2022-06-27 09:50:50,ailzhang subscribed 2022-06-27 09:50:50,facebook-github-bot labeled 2022-06-27 09:50:54,pytorchbot labeled 2022-06-27 10:01:33,mruberry review_requested 2022-06-27 13:22:15,mruberry labeled 2022-06-27 13:22:20,pytorchbot mentioned 2022-06-27 14:46:34,pytorchbot subscribed 2022-06-27 14:46:34,pytorchbot mentioned 2022-06-27 14:49:33,pytorchbot subscribed 2022-06-27 14:49:33,pytorchmergebot labeled 2022-06-27 14:49:41,pytorchmergebot referenced 2022-06-27 14:49:43,pytorchmergebot closed 2022-06-27 14:49:43,Flamefire mentioned 2022-06-27 14:50:21,Flamefire subscribed 2022-06-27 14:50:21,Flamefire head_ref_deleted 2022-06-28 07:02:23,facebook-github-bot referenced 2022-06-30 00:29:50","['ailzhang', 'facebook-github-bot', 'pytorchbot', 'mruberry', 'github-actions[bot]', 'pytorchmergebot', 'Flamefire']",4,True,ca,pytorch,https://github.com/pytorch/pytorch/pull/80328,Environmental-Dependent Processing
80737.0,85817.0,[MPS] Specialized memory pool for scalar values.,kulinseth,"- Add buffer usage and debug verbosity flags to MPSAllocator

- Add high_watermark_ration to limit the memory allocation

","['cla signed', 'release notes: mps', 'ciflow/trunk', 'Merged', 'ciflow/mps', 'open source']",['razarmehr'],[],2022-09-28 16:24:15,2022-10-02 15:28:13,aten/src/ATen/native/mps/OperationUtils.mm aten/src/ATen/native/mps/operations/RangeFactories.mm aten/src/ATen/native/mps/operations/BinaryOps.mm aten/src/ATen/native/mps/operations/PointwiseOps.mm aten/src/ATen/mps/MPSAllocator.h aten/src/ATen/native/mps/operations/View.mm aten/src/ATen/mps/MPSAllocator.mm aten/src/ATen/mps/MPSGuardImpl.mm aten/src/ATen/mps/MPSStream.mm aten/src/ATen/mps/MPSStream.h aten/src/ATen/native/mps/operations/Indexing.mm aten/src/ATen/native/mps/operations/Activation.mm aten/src/ATen/native/mps/OperationUtils.h aten/src/ATen/mps/MPSDevice.mm,"['0929c3343003c6eb556d97ef12fae10b9375e070', '3992aee74b65dbadb906c6b6e55669e436d4bd0b']","kulinseth labeled 2022-09-28 16:24:15,kulinseth review_requested 2022-09-28 16:24:15,kulinseth review_requested 2022-09-28 16:24:15,pytorch-bot[bot] labeled 2022-09-28 16:24:19,facebook-github-bot labeled 2022-09-28 16:24:20,pytorchbot labeled 2022-09-28 16:31:28,pytorch-bot[bot] labeled 2022-09-29 19:30:33,pytorchbot mentioned 2022-10-01 03:57:58,pytorchbot subscribed 2022-10-01 03:57:58,pytorchbot mentioned 2022-10-01 03:59:27,pytorchbot subscribed 2022-10-01 03:59:27,pytorchmergebot head_ref_force_pushed 2022-10-01 03:59:33,pytorchbot mentioned 2022-10-02 15:20:35,pytorchbot subscribed 2022-10-02 15:20:35,pytorchbot mentioned 2022-10-02 15:27:49,pytorchbot subscribed 2022-10-02 15:27:50,pytorchmergebot labeled 2022-10-02 15:27:55,pytorchmergebot referenced 2022-10-02 15:28:13,pytorchmergebot closed 2022-10-02 15:28:13,kulinseth mentioned 2022-10-02 15:28:47,kulinseth subscribed 2022-10-02 15:28:47,razarmehr head_ref_deleted 2022-10-03 14:59:14,mehtanirav referenced 2022-10-04 19:47:27,alvgaona referenced 2022-10-11 16:34:34","['kulinseth', 'facebook-github-bot', 'mehtanirav', 'pytorch-bot[bot]', 'malfet', 'pytorchbot', 'razarmehr', 'github-actions[bot]', 'alvgaona', 'pytorchmergebot']",9,True,ca,pytorch,https://github.com/pytorch/pytorch/pull/85817,Environmental-Dependent Processing
83765.0,90041.0,Add integration test for composable fully_shard and checkpoint,mrshenli,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* #90079
* #90078
* __->__ #90041

","['ciflow/trunk', 'topic: not user facing', 'Merged', 'release notes: distributed (composable)']","['rohan-varma', 'awgu']",[],2022-12-02 4:05:57,2022-12-02 21:57:13,test/distributed/_composable/test_compose.py,"['72c5571f8e442710ed9b63502ecc695c5bf921a2', 'dcef9cedbfc11e9e9ee1c451fba6c694f3e1306a']","mrshenli review_requested 2022-12-02 04:05:57,mrshenli review_requested 2022-12-02 04:05:57,mrshenli review_requested 2022-12-02 04:05:57,mrshenli review_requested 2022-12-02 04:05:57,mrshenli review_requested 2022-12-02 04:05:57,mrshenli review_requested 2022-12-02 04:05:58,mrshenli review_requested 2022-12-02 04:05:58,pytorch-bot[bot] labeled 2022-12-02 04:06:00,mrshenli referenced 2022-12-02 04:06:05,mrshenli labeled 2022-12-02 15:26:00,mrshenli referenced 2022-12-02 15:26:12,mrshenli labeled 2022-12-02 15:26:15,pytorchbot mentioned 2022-12-02 15:27:19,pytorchbot subscribed 2022-12-02 15:27:19,pytorchbot mentioned 2022-12-02 21:55:29,pytorchbot subscribed 2022-12-02 21:55:29,pytorchmergebot labeled 2022-12-02 21:57:12,pytorchmergebot referenced 2022-12-02 21:57:13,pytorchmergebot closed 2022-12-02 21:57:13,kulinseth referenced 2022-12-10 01:12:20,facebook-github-bot head_ref_deleted 2023-06-08 18:02:38","['kulinseth', 'mrshenli', 'facebook-github-bot', 'pytorch-bot[bot]', 'pytorchbot', 'awgu', 'pytorchmergebot', 'rohan-varma']",10,True,ca,pytorch,https://github.com/pytorch/pytorch/pull/90041,Environmental-Dependent Processing
