Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
nouiz,2008-05-23 15:25:45,Commit b4a16d93e21fb8737fc25758fba7eab22c8e38fe,2021-12-01 00:00:00,pr comment,4940,-4,16,9113,1096,1.8447368421052632,7965,1.6123481781376519,1148,0.23238866396761135,762089,154.26902834008098,83.62657741687698,314,1681,215,529,0.10708502024291498,0.12790005948839978,2.58907003012955e-05,1199,1144,363,3476,1562,0.31619433198380564,0.9541284403669725,0.00019314340898116852,350,94,6,py_14787 txt_1927 cu_311 c_294 sh_121 yml_102 cuh_58 tex_56 do_nightly_build_35 h_34 png_34 pdf_28 inc_21 pyx_21 mailmap_19 do_nightly_build_send_19 Makefile_17 pkl_15 theano-cache_13 bat_12 in_11 theano-nose_10 theano-test_6 rst_5 README_5 jenkins/gpuarray-branch_4 cpp_4 pyproj_4 gitignore_4 diff_4 hgignore_4 jpg_3 cc_3 odg_3 epydoc-fast_3 js_2 yaml_2 html_2 md_2 bib_2 hpp_2 prof_2 1_2 epydoc_2 cfg_1 gitattributes_1 jenkins/docker_cuda_theano/Dockerfile_1 css_1 ipynb_1 conf_1 do_nightly_build_theano_1 ChangeLog_1 theano-compiledir_1
lamblin,2008-07-22 19:58:55,Commit efcca5668b64fc4c5ef98d8dca5ac422062abece,2019-03-05 00:00:00,pr comment,3878,-4,16,2478,830,0.6389891696750902,2181,0.5624033006704486,297,0.07658586900464157,262484,67.68540484785972,105.92574656981436,141,993,27,168,0.04332129963898917,0.027190332326283987,7.011431749944298e-06,366,350,151,1696,517,0.1333161423414131,0.9562841530054644,0.0002465920972164684,255,55,4,py_5279 txt_924 c_135 cu_75 yml_43 cuh_26 sh_21 do_nightly_build_18 png_13 theano-nose_9 svg_7 mailmap_6 do_nightly_build_send_6 tex_6 theano-cache_6 pyx_5 pkl_4 h_4 in_4 bat_3 html_3 js_3 gitignore_3 hgignore_3 bib_2 cfg_2 inc_1 rst_1 css_1 :w_1 diff_1 gp_1
abergeron,2010-03-29 21:06:31,Commit 4dcabd0e0ac8197e3f2a5e0b25b64b09f67ad4aa,2020-01-14 18:41:39,Raise PR 6739,3578,-4,16,2336,776,0.6528787031861375,2143,0.5989379541643376,193,0.05394074902179989,351909,98.35354946897708,150.64597602739727,48,419,16,64,0.017887087758524316,0.03818615751789976,1.0672486729429783e-05,347,324,222,1394,569,0.15902738960313023,0.9337175792507204,0.00026096075440210185,78,35,5,py_4809 txt_511 c_286 cu_68 yml_42 h_29 sh_27 cuh_17 tex_15 pkl_10 pyx_8 yaml_7 png_6 inc_5 do_nightly_build_5 mailmap_4 in_4 bat_4 theano-cache_4 cfg_3 jenkins/gpuarray-branch_3 cpp_2 pyproj_2 md_2 theano-nose_2 diff_2 prof_2 gitattributes_1 do_nightly_build_send_1 :w_1 theano-test_1 hpp_1
goodfeli,2011-08-17 03:51:05,Commit 4b3adac2e57d996861ab2118bddcec10a6b896eb,2017-05-15 00:00:00,issue comment,2098,-4,14,674,187,0.32125834127740704,633,0.3017159199237369,41,0.019542421353670163,28523,13.59532888465205,42.31899109792285,8,14,1,9,0.004289799809342231,0.07142857142857142,3.4046030232874844e-05,101,88,0,171,101,0.048141086749285036,0.8712871287128713,0.00041529415095942386,13437,11,1,py_981 txt_55 cu_20 cuh_13 README_2 do_nightly_build_send_1 do_nightly_build_1
carriepl,2014-02-04 18:50:50,Commit e3c3d33cbafa8a8ff03c672352a61b1a80e99794,2016-09-22 00:00:00,pr comment,961,-4,11,671,246,0.6982310093652445,595,0.619146722164412,76,0.07908428720083246,95420,99.29240374609782,142.20566318926976,14,70,7,21,0.021852237252861603,0.1,0.0001040582726326743,100,93,1,224,101,0.10509885535900104,0.93,0.000967741935483871,4,17,4,py_759 txt_120 c_82 pyx_13 png_11 js_10 h_8 yml_5 html_5 css_4 diff_4 pkl_2 cu_2 pdf_1 gitignore_1 ipynb_1 cpp_1 Makefile_1 tex_1
pascanur,2010-01-15 00:09:41,Commit 839eda94980d3d96b71a93f811796d570fa25edc,2014-04-02 00:00:00,pr comment,1538,-4,16,671,203,0.4362808842652796,623,0.40507152145643693,48,0.031209362808842653,87006,56.570871261378414,129.66616989567808,2,20,1,3,0.0019505851755526658,0.05,3.250975292587776e-05,75,66,0,145,75,0.04876462938881664,0.88,0.0005721716514954486,150,10,3,py_910 txt_166 png_14 pyx_7 svg_4 cu_3 c_2 sh_1 do_nightly_build_1
breuleux,2008-01-08 22:14:24,Commit a8cfe8f25a9638acb5dc274ab6d849b0a7a0d5f3,2011-03-16 22:42:50,Commit c84ef1d84960a7375f89a1bee7428322a3de0b8f,1164,-4,17,466,448,0.40034364261168387,425,0.3651202749140893,41,0.0352233676975945,131491,112.9647766323024,282.1695278969957,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0.0,0,0.0,102,0,4,py_1671 txt_337 sh_17 css_10 idx_9 epydoc_8 png_7 svg_5 1_5 epydoc-fast_5 conf_4 cc_4 1st_2 hgignore_2 h_2 cu_1 pylintrc_1 theano-compiledir_1 build/PLACEHOLDER_1 templates/PLACEHOLDER_1 static/PLACEHOLDER_1 LICENSE_1
notoraptor,2016-10-11 17:46:02,Commit 0cd7aa7b282b971f7a43bc5e7742d23616699e38,2018-01-10 22:37:33,Reviewed PR 6549,457,-4,11,457,260,1.0,381,0.8336980306345733,76,0.16630196936542668,34784,76.11378555798687,76.11378555798687,16,74,11,27,0.05908096280087528,0.14864864864864866,0.0003252705659707848,102,97,40,157,142,0.31072210065645517,0.9509803921568627,0.002080919895310422,9,10,4,py_630 txt_200 c_187 sh_21 inc_21 yml_20 mailmap_14 h_10 bat_6 theano-cache_4 theano-test_4 theano-nose_3 cu_2 cuh_1
dwf,2010-07-02 22:49:26,Commit 54c3b53ad1bb7a491556f6edbf603adc08d7e438,2016-10-13 18:01:09,Raise Issue 5088,2295,-4,14,398,352,0.17342047930283225,328,0.14291938997821352,70,0.030501089324618737,30865,13.44880174291939,77.55025125628141,27,71,2,29,0.012636165577342049,0.028169014084507043,1.227408021111418e-05,34,30,0,180,34,0.014814814814814815,0.8823529411764706,0.00038446751249519417,304,22,2,py_1401 txt_108 cu_13 theano-nose_6 in_6 theano-cache_5 theano-test_4 cuh_3 hgignore_3 yml_2 tex_2 ChangeLog_2 sh_2 do_nightly_build_1 mailmap_1 pyx_1 do_nightly_build_send_1 gif_1
royxue,2014-03-14 00:00:00,pr comment,2015-04-18 15:08:59,Raise PR 2795,401,8,23,213,13,0.5311720698254364,212,0.5286783042394015,1,0.0024937655860349127,5381,13.418952618453865,25.262910798122064,0,3,0,0,0.0,0.0,0.0,13,10,0,13,13,0.032418952618453865,0.7692307692307693,0.001918281220026856,75,3,2,py_237 c_1 txt_1
