,Issue#,Title,Owner,Description,Labels,Reviewers,Assignees,Opened time,Closed time,Changed Files,Commits,Events,Participants,Number of Comments,Merged
0,1,Fixed documentation about FAST_COMPILE mode to match its actual implement,odelalleau,"Fixed documentation about FAST_COMPILE mode to match its actual implementation
",,,,2011-08-15 20:36:36,2011-08-16 22:33:49,doc/tutorial/modes.txt doc/library/compile/mode.txt,a9f5ef480bc56fc6403deaee1d473d8bb4ea0928,"odelalleau subscribed 2011-08-15 20:36:36,dwf referenced 2011-08-16 22:33:49,dwf merged 2011-08-16 22:33:49,dwf subscribed 2011-08-16 22:33:49,dwf closed 2011-08-16 22:33:49,odelalleau referenced 2011-08-29 20:36:38,goodfeli referenced 2011-09-13 02:13:40,goodfeli subscribed 2011-09-13 02:13:40,odelalleau referenced 2011-10-13 20:10:04,lamblin referenced 2012-02-15 21:17:11,lamblin subscribed 2012-02-15 21:17:11,pascanur referenced 2012-02-22 15:41:28,pascanur subscribed 2012-02-22 15:41:29,lamblin referenced 2012-02-22 22:06:39,nouiz referenced 2013-02-26 15:15:26,nouiz referenced 2013-03-30 18:18:28,odelalleau referenced 2013-04-18 01:28:30,nouiz referenced 2013-06-13 13:47:56,nouiz referenced 2013-08-07 13:09:19,abergeron referenced 2013-09-09 21:23:39,jaberg referenced 2013-11-07 03:32:37,abergeron referenced 2013-12-05 20:02:58,nouiz referenced 2013-12-12 21:36:48,Hengjean referenced 2014-06-26 19:10:08,nouiz referenced 2014-08-27 17:43:13,lamblin referenced 2015-02-16 22:19:32,carriepl referenced 2015-04-24 17:14:47,nouiz referenced 2015-06-01 19:44:23,bouthilx referenced 2015-07-03 16:30:52,nouiz referenced 2015-10-13 04:34:04,nouiz referenced 2016-06-09 11:57:42,lamblin referenced 2016-06-16 20:17:18,nouiz referenced 2016-09-30 23:55:03,borisfom referenced 2017-08-10 06:07:14",odelalleau dwf lamblin goodfeli carriepl abergeron Hengjean bouthilx jaberg pascanur nouiz borisfom,0,True
1,2,"Remove annoying raise_with_op behaviour, document.",dwf,"This adds a docstring for raise_with_op and also modifies its behaviour
somewhat. Previously, the exception was re-raised with a different
'args' member -- namely, in addition to the exception message it added
two new elements to the tuple: the Op itself and a string telling you
where in the graph the corresponding Apply node appeared.

This gets in the way if you want to have an exception message containing
formatting (newlines and tabs), since the entire tuple is printed, and
the formatting on the string is not rendered.

I've never seen the Apply node index be of use to anyone debugging, but
my proposed solution is to stash that information in `__op_instance__`
and `__applynode_index__` on the object instead of in the args tuple.
I would not be against appending to args[0], the exception message,
with applynode information, but this is easy enough to obtain at the
pdb prompt with my modifications.
",,,,2011-08-16 22:32:24,2011-08-16 22:39:30,theano/gof/link.py,cefc55532a02062134d740d59a82fd32caaca85f,"dwf subscribed 2011-08-16 22:32:24,jaberg referenced 2011-08-16 22:39:30,jaberg merged 2011-08-16 22:39:30,jaberg subscribed 2011-08-16 22:39:30,jaberg closed 2011-08-16 22:39:30,jaberg referenced 2011-08-30 19:34:00,nouiz subscribed 2011-09-01 15:50:44,nouiz referenced 2011-09-27 18:05:02,hamelphi referenced 2011-11-10 22:52:06,hamelphi subscribed 2011-11-10 22:52:06,goodfeli referenced 2012-02-08 14:36:19,goodfeli subscribed 2012-02-08 14:36:19,pascanur referenced 2012-10-25 00:29:26,nouiz referenced 2013-01-29 16:14:18,nouiz referenced 2013-02-26 15:15:26,nouiz referenced 2013-07-10 13:55:38,jaberg referenced 2013-11-07 03:32:37,abergeron referenced 2013-12-05 20:02:58,nouiz referenced 2014-04-29 16:42:00,nouiz referenced 2014-08-27 17:43:13,carriepl referenced 2015-04-24 17:14:47,jojolalpin referenced 2016-01-09 10:30:50,abergeron referenced 2016-01-18 19:47:28,abergeron referenced 2016-06-21 18:27:19,nouiz referenced 2016-09-30 23:55:03,brandonwillard referenced 2020-05-30 20:41:56",brandonwillard dwf goodfeli jojolalpin carriepl abergeron jaberg pascanur hamelphi nouiz,1,True
2,3,adding 1d advanced indexing support to inc_subtensor and set_subtensor,jaberg,"The inc_subtensor and set_subtensor functions in tensor.basic used to crash if you try to do something like inc_subtensor(x[v] = y) and v was an integer vector that triggered advanced indexing on x.  This patch fixes this.
",,,,2011-08-16 22:58:33,2011-08-17 19:13:14,theano/tensor/basic.py theano/tensor/tests/test_basic.py,c55493756369e9c693a5cdecac51e43422cfd773 55ac73eb5efb7b90a015dc0cf5bfe7faab82f991 e829f389f2a08fc45b02db92c9e07f3d4cff722e ee8fcd4faef7b0d7e72852230d6b246dfa44accc,"jaberg subscribed 2011-08-16 22:58:33,dwf closed 2011-08-17 17:26:13,dwf subscribed 2011-08-17 17:26:13,dwf reopened 2011-08-17 17:26:42,dwf referenced 2011-08-17 19:13:14,dwf merged 2011-08-17 19:13:14,dwf closed 2011-08-17 19:13:14,nouiz referenced 2011-10-17 20:17:09,nouiz subscribed 2011-10-17 20:17:09,odelalleau referenced 2011-11-26 03:17:22,odelalleau subscribed 2011-11-26 03:17:22,odelalleau referenced 2011-11-26 03:29:40,odelalleau referenced 2011-11-26 03:48:27,goodfeli referenced 2012-08-22 19:21:55,pascanur referenced 2012-10-25 00:29:27,nouiz referenced 2013-01-29 16:14:18,nouiz referenced 2013-02-26 15:15:26,lamblin referenced 2013-09-06 20:22:41,jaberg referenced 2013-11-07 03:32:37,Hengjean referenced 2014-06-26 19:10:08,nouiz referenced 2014-08-27 17:43:13,nouiz referenced 2014-11-04 21:20:09,bouthilx referenced 2015-05-19 23:06:16,ballasn referenced 2015-06-29 17:45:08,jojolalpin referenced 2016-01-09 10:30:50,nouiz referenced 2016-06-14 01:46:01,brandonwillard referenced 2020-05-30 20:41:56",ballasn brandonwillard dwf odelalleau lamblin goodfeli jojolalpin Hengjean bouthilx jaberg pascanur nouiz,0,True
3,4,fixed bug where T.mean(ndarray) crashes,goodfeli,,,,,2011-08-17 16:04:33,2011-08-17 17:25:11,theano/tensor/basic.py theano/tensor/elemwise.py,4b8320c786371db95dd759d3b14c6f702d74e0b5,"goodfeli subscribed 2011-08-17 16:04:33,dwf merged 2011-08-17 17:25:11,dwf subscribed 2011-08-17 17:25:11,dwf closed 2011-08-17 17:25:11,nouiz referenced 2013-01-29 16:14:18,nouiz referenced 2013-02-26 15:15:27,lamblin referenced 2013-03-18 19:26:28,nouiz referenced 2014-08-27 17:43:13,nouiz referenced 2014-11-04 21:20:09,lamblin referenced 2014-12-11 15:57:25,lamblin referenced 2015-03-03 02:13:22,ballasn referenced 2015-06-29 17:45:08,bouthilx referenced 2015-07-03 16:30:52,brandonwillard referenced 2020-05-30 20:41:56",ballasn brandonwillard dwf lamblin goodfeli bouthilx nouiz,0,True
4,5,Add .value() as an alias for .get_value(),dwf,"This completely removes the deprecated .value used as a property.
",,,,2011-08-23 20:09:00,2011-09-19 15:28:05,theano/compile/sharedvalue.py,f78dea5da53658e4a711b7bdf9eba620d3b7d35a,"dwf subscribed 2011-08-23 20:09:00,jaberg subscribed 2011-08-23 20:13:55,odelalleau subscribed 2011-08-24 13:00:50,dwf closed 2011-09-19 15:28:05,jaberg referenced 2012-08-30 01:43:51,nouiz referenced 2014-08-27 17:43:13,lamblin referenced 2014-12-17 20:28:55,bouthilx referenced 2015-05-19 23:06:16,ballasn referenced 2015-06-29 17:45:08,brandonwillard referenced 2020-07-03 20:56:01,brandonwillard referenced 2020-07-03 21:02:26,brandonwillard referenced 2020-07-06 04:41:08,brandonwillard referenced 2020-07-06 16:40:06",ballasn brandonwillard dwf odelalleau lamblin bouthilx jaberg nouiz,8,False
5,6,added theano/misc/naming.py,goodfeli,"I added a file for getting long, informative descriptions of variables. This isn't used elsewhere in theano yet but I would like to start using it for verbose error messages later.
",,,,2011-08-23 21:17:19,2011-08-29 12:46:11,theano/tests/test_printing.py theano/misc/naming.py theano/printing.py,789ed6a26a7af24e4b90771814fa0414012a7842 f4038b2eccf8131984e424b518d09e23d87dd9d7 4f9d00f527c9318d523d122784706ca2b3f9595a 492ea53c45e9c52a8befa2a17eb9db36ee89a23e c9eb04c20d4f92098f70aed3c58dca3758e9606c 694a42ccdce9cfd4790286cd22d74eb9a0c10fe8,"goodfeli subscribed 2011-08-23 21:17:19,jaberg subscribed 2011-08-23 22:28:47,dwf subscribed 2011-08-24 04:05:42,odelalleau subscribed 2011-08-24 13:14:20,jaberg referenced 2011-08-29 12:46:11,jaberg merged 2011-08-29 12:46:11,jaberg closed 2011-08-29 12:46:11,nouiz referenced 2011-10-24 18:03:46,nouiz subscribed 2011-10-24 18:03:46,abergeron referenced 2013-12-16 14:51:21,nouiz referenced 2014-10-20 13:06:02,lamblin referenced 2015-02-26 00:28:26,bouthilx referenced 2015-05-19 23:06:16",dwf odelalleau lamblin goodfeli abergeron bouthilx jaberg nouiz,19,True
6,7,Small stuff,jaberg,"pushing misc small things.
",,,,2011-08-24 22:26:40,2011-08-25 21:09:53,theano/tensor/basic.py theano/compile/function_module.py,57883ff6ad0a81fc08e0920879e87d0e0f3ac0a6 57a53223bb61cce7b4cdd3fb572b4791dddac5fd dd58f747a3c29c17977541e20c26f868ca080c94 dc91b431f01564230a60c28aa4c5228f476f5207,"jaberg subscribed 2011-08-24 22:26:40,odelalleau subscribed 2011-08-24 23:53:33,dwf subscribed 2011-08-25 16:23:53,dwf referenced 2011-08-25 21:09:53,dwf merged 2011-08-25 21:09:53,dwf closed 2011-08-25 21:09:53,nouiz referenced 2011-11-01 19:32:43,nouiz subscribed 2011-11-01 19:32:43,goodfeli referenced 2012-09-12 17:29:36,abergeron referenced 2014-04-10 19:56:44,abergeron referenced 2014-08-14 16:54:09,nouiz referenced 2014-11-19 14:45:31,lamblin referenced 2015-03-03 00:20:16,bouthilx referenced 2015-06-17 18:23:14,brandonwillard referenced 2020-05-30 20:41:56",brandonwillard dwf odelalleau lamblin goodfeli abergeron bouthilx jaberg nouiz,2,True
7,8,Shared pickle,abergeron,"This is a patch that allows shared variables to move between CPU and GPU when going through pickle.  This wil not work on optimized graphs (and therefore on shared variables inside scan).
",,,,2011-08-25 19:44:56,2011-09-06 21:03:23,theano/tensor/sharedvar.py theano/sandbox/cuda/tests/test_var.py theano/sandbox/cuda/__init__.py theano/tensor/tests/test_sharedvar.py,26429e593df71f5a600f3e1994463520992e2989 6ba34a31201da7617c5e4cedc0d216d83ef5b1c2 0faf7819039c755d906e8b1338d4607806d31310,"abergeron subscribed 2011-08-25 19:44:56,jaberg subscribed 2011-08-25 20:39:04,jaberg referenced 2011-09-06 21:03:23,jaberg merged 2011-09-06 21:03:23,jaberg closed 2011-09-06 21:03:23,abergeron referenced 2011-10-19 22:11:04,nouiz referenced 2011-11-04 15:17:16,nouiz subscribed 2011-11-04 15:17:16,goodfeli referenced 2012-09-12 17:29:36,abergeron referenced 2014-04-10 19:56:44,lamblin referenced 2015-03-03 00:20:16,nouiz referenced 2015-04-15 03:09:14,bouthilx referenced 2015-06-23 19:04:24,brandonwillard referenced 2020-05-30 20:41:56",brandonwillard lamblin goodfeli abergeron bouthilx jaberg nouiz,9,True
8,11,updating to remove assembla and hg references,jaberg,"I deleted most of them, updated a few, and missed the stuff about pip, for which I filed a new issue.
",,,,2011-08-26 16:18:35,2011-08-30 19:33:58,doc/install.txt doc/internal/how_to_release.txt doc/sandbox/hosting.txt doc/internal/metadocumentation.txt doc/internal/index.txt doc/library/index.txt doc/index.txt doc/internal/hg_primer.txt doc/internal/dev_start_guide.txt,19409f467a1e50438fa02f5586e02744c0f6a0ef b128c979f41b924cc386c1b3206212625f6a3735 2b8e13b967059afc0abfc0db8b5c6057df85a18f 43f6562f9f15f74c34f3721ea00daed7dbf465ce 327f119cd3568a03869d296c9624d3c8b858af4b,"jaberg subscribed 2011-08-26 16:18:35,odelalleau subscribed 2011-08-29 15:02:49,odelalleau referenced 2011-08-30 19:33:58,odelalleau merged 2011-08-30 19:33:58,odelalleau closed 2011-08-30 19:33:58,nouiz referenced 2011-12-12 22:19:05,nouiz subscribed 2011-12-12 22:19:05,nouiz referenced 2016-12-16 13:11:32",jaberg odelalleau nouiz,9,True
9,13,Disable interactive debugger when inserting deep copy.,nouiz,"This fix Ian problem on the mailing list.
",,,,2011-08-31 14:00:05,2011-08-31 14:22:07,theano/compile/debugmode.py theano/compile/function_module.py theano/gof/tests/test_compute_test_value.py,e0e7382ad5b89e32052e6d82740f4512b880ef14,"nouiz subscribed 2011-08-31 14:00:05,jaberg referenced 2011-08-31 14:22:06,jaberg merged 2011-08-31 14:22:06,jaberg subscribed 2011-08-31 14:22:06,jaberg closed 2011-08-31 14:22:07,josephwillard referenced 2020-07-09 20:48:34",jaberg nouiz josephwillard,0,True
10,14,Fix internal doc.,nouiz,,,,,2011-08-31 14:09:48,2011-08-31 14:16:00,doc/internal/dev_start_guide.txt,31b55f92b7ca637a816673674495a9feef10037a,"nouiz subscribed 2011-08-31 14:09:48,odelalleau referenced 2011-08-31 14:16:00,odelalleau merged 2011-08-31 14:16:00,odelalleau subscribed 2011-08-31 14:16:00,odelalleau closed 2011-08-31 14:16:00,nouiz referenced 2012-04-24 16:30:37,brandonwillard referenced 2020-07-06 04:41:08",brandonwillard odelalleau nouiz,0,True
11,15,Fix a test(bad syntax and fix the following problem). Add basic mean test,nouiz,"Fix a test(bad syntax and fix the following problem). Add basic mean test.
",,,,2011-08-31 20:52:36,2011-08-31 21:03:02,theano/tensor/basic.py theano/tensor/tests/test_basic.py,44fa4acc4abda8de158d35e2a6d4184f214e5f48,"nouiz subscribed 2011-08-31 20:52:36,jaberg referenced 2011-08-31 21:03:02,jaberg merged 2011-08-31 21:03:02,jaberg subscribed 2011-08-31 21:03:02,jaberg closed 2011-08-31 21:03:02,nouiz referenced 2012-07-05 19:43:29",jaberg nouiz,0,True
12,16,many doc syntax fix to remove warning during doc generation.,nouiz,,,,,2011-09-01 13:15:23,2011-09-01 13:35:28,doc/sandbox/elemwise_compiler.txt doc/tutorial/conditions.txt doc/internal/dev_start_guide.txt doc/sandbox/randomnumbers.txt,875c5037c08b72d60bee4b386899f30dff4f7544,"nouiz subscribed 2011-09-01 13:15:23,odelalleau referenced 2011-09-01 13:35:27,odelalleau merged 2011-09-01 13:35:28,odelalleau subscribed 2011-09-01 13:35:28,odelalleau closed 2011-09-01 13:35:28,abergeron referenced 2014-08-13 03:29:06",abergeron odelalleau nouiz,0,True
13,17,Minor fixes to doc,odelalleau,"Just fixing some typo and some minor refactoring.
",,,,2011-09-01 13:43:30,2011-09-01 13:49:22,doc/internal/dev_start_guide.txt,24d0a26e06f307c639040a16cef91482c9a19e4f,"odelalleau subscribed 2011-09-01 13:43:30,nouiz referenced 2011-09-01 13:49:22,nouiz merged 2011-09-01 13:49:22,nouiz subscribed 2011-09-01 13:49:22,nouiz closed 2011-09-01 13:49:22",odelalleau nouiz,0,True
14,18,removed hg reference in the buildbot script.,nouiz,,,,,2011-09-01 14:31:55,2011-09-01 15:17:50,theano/misc/do_nightly_build,18031aeadf42cbce8fd8f6f1d865b8c522ea0acb,"nouiz subscribed 2011-09-01 14:31:55,goodfeli referenced 2011-09-01 15:17:50,goodfeli merged 2011-09-01 15:17:50,goodfeli subscribed 2011-09-01 15:17:50,goodfeli closed 2011-09-01 15:17:50,brandonwillard referenced 2020-07-23 00:07:52",goodfeli brandonwillard nouiz,0,True
