Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
tqchen,2015-04-30 17:06:16,Commit be75254b61ed2112c69ae9f210fe75aa25ab0557,2019-09-27 01:52:22,Reviewed PR 16290,1611,-7,10,818,867,0.5077591558038486,552,0.3426443202979516,266,0.16511483550589695,171255,106.30353817504655,209.35819070904645,36,1088,15,51,0.03165735567970205,0.013786764705882353,8.557892430715303e-06,228,217,29,944,257,0.159528243327126,0.9517543859649122,0.0005907848454158363,9975,75,6,h_951 py_699 cc_691 md_660 Rd_526 R_301 Makefile_66 cu_62 mshadow_62 scala_49 sh_43 gitignore_42 dmlc-core_41 Rmd_39 ps-lite_18 ipynb_18 txt_17 NAMESPACE_17 mk_16 yml_16 DESCRIPTION_14 png_12 xml_10 Makevars_9 nnvm_7 LICENSE_6 README_6 pyx_4 html_4 gitmodules_3 pyi_3 win_3 Rbuildignore_3 r_3 cpp_3 tvm_2 Jenkinsfile_2 Doxyfile_2 svg_2 css_2 java_2 incept_6_2 incept_7_2 incept_2_2 incept_3_2 incept_4_2 incept_5_2 00Index_2 hpp_2 bak_2 PL_1 gpu_1 dlpack_1 properties_1 proto_1 incept_1_1
pluskid,2015-10-01 20:21:59,Commit 656886474bf7c6c212b29c6ebc35c002f15698de,2018-10-05 00:00:00,pr comment,1100,-4,0,699,641,0.6354545454545455,332,0.3018181818181818,367,0.3336363636363636,124537,113.21545454545455,178.1645207439199,16,412,9,25,0.022727272727272728,0.021844660194174758,1.9858781994704324e-05,62,57,5,158,67,0.060909090909090906,0.9193548387096774,0.0008357771260997067,2435,31,4,py_762 jl_646 md_331 h_149 rst_143 cc_92 sh_60 R_33 jl-e_32 yml_29 xml_28 gitignore_26 Makefile_19 cu_19 cfg_16 scala_15 Rd_15 mshadow_12 ipynb_11 REQUIRE_10 css_7 dmlc-core_6 svg_4 txt_4 html_4 ps-lite_4 Prediction_4 with_4 Pre-trained_4 png_3 README_3 mk_3 js_3 Rmd_3 incept_3_3 incept_2_3 incept_1_2 bat_2 enc_1 Doxyfile_1 Dockerfile_1 NAMESPACE_1 scp_1 ark_1 proto_1 DESCRIPTION_1 incept_6_1 incept_5_1 incept_7_1 incept_4_1 Makevars_1 Rbuildignore_1 cmake_1
piiswrong,2015-10-22 17:03:15,Commit b1de0cbe34113adb24b17a5727e68c80ce32f304,2019-01-04 00:00:00,pr comment,1170,-8,23,576,942,0.49230769230769234,502,0.42905982905982903,74,0.06324786324786325,149993,128.1991452991453,260.4045138888889,26,2011,4,30,0.02564102564102564,0.001989060169070114,1.7000514265556532e-06,342,287,642,3344,984,0.841025641025641,0.8391812865497076,0.000717248962862998,1175,124,6,py_1261 h_724 cc_620 md_181 cu_146 Makefile_41 sh_39 mshadow_39 mk_31 dmlc-core_28 scala_28 nnvm_24 ipynb_17 pyx_12 hpp_9 R_8 pm_7 DESCRIPTION_6 ps-lite_5 Jenkinsfile_5 cpp_5 yml_5 Rmd_5 gitignore_4 pyi_4 html_4 txt_3 incept_6_3 incept_5_3 incept_7_3 incept_4_3 CODEOWNERS_2 cuh_2 t_2 i_2 incept_3_2 incept_2_2 java_2 css_1 gitmodules_1 yaml_1 json_1 format_1 dockerignore_1 Dockerfile_1 README_1 LICENSE_1 proto_1 incept_1_1 NAMESPACE_1
mli,2015-04-30 16:21:15,Commit ab64fe792f874dddb193c9828fd2cc3898f6bee3,2019-06-25 05:06:56,Raise PR 15347,1517,-4,22,548,1078,0.3612392880685564,352,0.23203691496374423,196,0.12920237310481214,169089,111.46275543836519,308.5565693430657,28,566,3,31,0.02043506921555702,0.00530035335689046,3.493970571450534e-06,167,142,56,688,223,0.14700065919578115,0.8502994011976048,0.000560513777981282,13983,94,4,py_1124 md_501 h_403 cc_202 Rd_190 sh_138 Makefile_52 gitignore_34 rst_30 R_30 m_26 html_25 ps-lite_23 css_22 yml_19 bak_18 ipynb_16 mk_15 cu_14 Jenkinsfile_11 incept_3_11 incept_2_11 cmake_10 Rmd_9 incept_5_9 incept_1_9 incept_7_9 incept_4_9 incept_6_8 gitmodules_7 mshadow_7 README_7 txt_6 dmlc-core_6 Dockerfile_5 DESCRIPTION_5 doc_4 svg_4 NAMESPACE_4 Makevars_4 mklml_gpu_3 gpu_3 cpu_3 scala_2 caffe_gpu_2 pylintrc_2 js_2 proto_2 00Index_2 Rbuildignore_2 cub_1 julia_1 5/Dockerfile_1 python_1 r-lang_1 0/Dockerfile_1 with_the_same_user_1 lint_1 bat_1 pm_1 conf_1 LICENSE_1
antinucleon,2015-06-19 07:13:06,Commit 86ce32d7b14a6f1a5289b604606ac0c80616e223,2019-06-19 00:00:00,issue comment,1461,-6,23,535,752,0.3661875427789186,456,0.31211498973305957,79,0.054072553045859,165990,113.61396303901438,310.2616822429907,12,306,0,12,0.008213552361396304,0.0,0.0,141,126,0,354,141,0.09650924024640657,0.8936170212765957,0.0006116475162741928,847,59,6,h_1160 py_930 cc_595 md_264 cu_123 Makefile_95 Rd_92 ipynb_79 R_59 mshadow_47 dmlc-core_43 mk_36 ps-lite_31 sh_27 gitignore_24 Doxyfile_17 yml_13 bak_8 Rmd_7 txt_6 gitmodules_6 cmake_5 cpp_4 README_4 rabit_4 html_3 DESCRIPTION_3 java_3 NAMESPACE_3 png_3 hpp_3 LICENSE_2 rst_2 filters_2 user_2 vcxproj_2 sln_2 nnvm_1 scala_1 json_1 win_1 00Index_1 Rbuildignore_1 Makevars_1
szha,2016-12-16 15:20:09,Reviewed PR 4260,2022-03-08 00:04:53,Reviewed PR 20941,1908,-7,10,278,1446,0.14570230607966456,220,0.11530398322851153,58,0.03039832285115304,123944,64.96016771488469,445.841726618705,103,1815,4,107,0.05607966457023061,0.0022038567493112946,1.1550611893665066e-06,329,292,870,2677,1199,0.6284067085953878,0.8875379939209727,0.00046516666348059364,453,163,6,py_860 md_851 h_166 rst_137 cc_71 sh_61 xml_40 cu_38 clj_34 mk_30 png_27 html_24 Makefile_17 scss_16 groovy_13 yml_9 gitignore_9 cpp_8 yaml_7 cmake_6 ps1_6 txt_6 in_5 DESCRIPTION_5 js_5 mshadow_5 Jenkinsfile_release_job_4 cuh_4 scala_4 rat-excludes_3 Jenkinsfile_cd_pipeline_3 pyi_3 Makefile_sphinx_3 svg_3 Jenkinsfile_3 ini_3 ubuntu_gpu_cu101_3 dmlc-core_3 java_3 KEYS_2 NOTICE_2 nojekyll_2 htaccess_2 python_2 rdf_2 jpeg_2 Jenkinsfile_website_full_pr_2 Jenkinsfile_unix_gpu_2 Jenkinsfile_windows_cpu_2 Jenkinsfile_tools_2 Jenkinsfile_website_beta_2 Jenkinsfile_centos_cpu_2 Jenkinsfile_miscellaneous_2 Jenkinsfile_website_mxnet_build_2 Jenkinsfile_website_full_2 Jenkinsfile_centos_gpu_2 Jenkinsfile_edge_2 Jenkinsfile_website_nightly_2 Jenkinsfile_windows_gpu_2 Jenkinsfile_sanity_2 ubuntu_gpu_cu90_2 ubuntu_gpu_cu100_2 ubuntu1404_gpu_2 ubuntu_gpu_cu92_2 ubuntu_gpu_cu102_2 ubuntu1404_cpu_2 CODEOWNERS_2 LICENSE_2 Dockerfile_2 mklml_gpu_2 ipynb_2 Rmd_2 R_2 hpp_2 DISCLAIMER-WIP_1 DISCLAIMER_1 dockerignore_1 mxnet_root_1 pyx_1 JenkinsfileForMBCC_1 JenkinsfileForBinaries_1 Jenkinsfile_website_c_docs_1 Jenkinsfile_website_clojure_docs_1 Jenkinsfile_website_java_docs_1 Jenkinsfile_website_python_docs_1 Jenkinsfile_website_r_docs_1 Jenkinsfile_website_scala_docs_1 Jenkinsfile_website_jekyll_docs_1 Jenkinsfile_unix_cpu_1 Jenkinsfile_website_julia_docs_1 test_1 ubuntu_nightly_gpu_1 ubuntu_cpu_scala_1 ubuntu_nightly_cpu_1 ubuntu_cpu_1 ubuntu_cpu_python_1 ubuntu_cpu_julia_1 armv8_1 requirements_1 centos7_1 armv7_1 Jenkinsfile_clang_1 ubuntu_build_cuda_1 Doxyfile_1 gitmodules_1 gpu_1 cpu_1 julia_1 r-lang_1 docs_requirements_1 tensorrt_1 perl_1 sym_1 ver_1 aws_1 css_1 cPickle_1 nnvm_1
yzhliu,2015-12-07 00:00:00,issue comment,2020-09-30 00:00:00,pr comment,1760,8,23,238,667,0.13522727272727272,113,0.06420454545454546,125,0.07102272727272728,59559,33.84034090909091,250.24789915966386,8,353,0,8,0.004545454545454545,0.0,0.0,75,67,99,418,174,0.09886363636363636,0.8933333333333333,0.0005075757575757576,318,64,5,scala_657 xml_240 cc_208 py_197 h_153 md_82 sh_69 Rd_32 Makefile_23 cu_22 R_13 yml_12 mk_11 gitignore_8 txt_5 dmlc-core_5 ipynb_5 properties_5 mshadow_5 cmake_4 NAMESPACE_4 tvm_3 DESCRIPTION_3 ps-lite_3 LICENSE_2 cpp_2 groovy_1 ubuntu_gpu_cu101_1 dlpack_1 js_1 yaml_1 KEYS_1 CODEOWNERS_1 t_1 gpu_1 proto_1 Rmd_1 json_1
leezu,2016-11-02 07:32:54,Raise Issue 3692,2022-02-04 00:00:00,pr comment,1920,-7,21,237,927,0.1234375,178,0.09270833333333334,59,0.030729166666666665,57582,29.990625,242.9620253164557,85,398,4,89,0.04635416666666667,0.010050251256281407,5.234505862646566e-06,287,256,272,977,559,0.2911458333333333,0.89198606271777,0.0004645760743321719,137,116,6,py_492 cc_190 md_184 sh_171 cmake_88 h_87 groovy_49 txt_49 mk_33 yml_21 Makefile_19 cu_12 centos7_11 ubuntu_7 Jenkinsfile_unix_gpu_7 Jenkinsfile_docker_cache_7 rst_6 centos7_cpu_6 LICENSE_5 arm_5 requirements_5 armv8_5 Jenkinsfile_5 sym_4 ver_4 jetson_4 pyx_4 Jenkinsfile_unix_cpu_4 armv7_4 centos7_gpu_cu101_4 centos7_gpu_cu100_4 centos7_gpu_cu102_4 rat-excludes_3 js_3 ubuntu_cpu_julia_3 Jenkinsfile_centos_cpu_3 android_armv8_3 Jenkinsfile_miscellaneous_3 ubuntu_gpu_cu101_3 ubuntu_nightly_gpu_3 centos7_gpu_cu92_3 dmlc-core_3 libzip_2 MIT_2 android_2 clang-tidy_2 ubuntu_cpu_scala_2 ps1_2 gpg_2 ubuntu_cpu_r_2 ubuntu1604_cpu_2 ubuntu1604_gpu_2 html_2 ubuntu_cpu_2 ubuntu_build_cuda_2 centos7_gpu_2 cu90_2 centos7_gpu_cu90_2 mkl_2 Jenkinsfile_cd_pipeline_2 jl_2 ubuntu_nightly_cpu_2 ubuntu_gpu_cu102_2 ubuntu_gpu_cu92_2 t_2 ubuntu_gpu_cu90_2 ubuntu_gpu_cu100_2 armv6_2 ubuntu_gpu_cu80_2 android_armv7_2 Jenkinsfile_clang_2 ps-lite_2 Makevars_2 R_2 cuh_2 JenkinsfileForBLC_1 ubuntu_blc_1 KEYS_1 common_1 tvm_1 c_1 gitmodules_1 BSD3-cmake_1 BSD2_1 NOTICE_1 OFL1_1_1 BOOST1_0_1 mkldnn_1 htaccess_1 Jenkinsfile_website_full_pr_1 Jenkinsfile_website_nightly_1 Jenkinsfile_website_mxnet_build_1 Jenkinsfile_website_python_docs_1 ubuntu_cpu_python_1 Jenkinsfile_website_beta_1 Jenkinsfile_website_full_1 ubuntu_gpu_tensorrt_1 ubuntu_cpu_c_1 ubuntu_rat_1 ubuntu1804_gpu_1 docker_cache_requirements_1 ubuntu_cpu_jekyll_1 ubuntu1804_cpu_1 Jenkinsfile_website_c_docs_1 Jenkinsfile_website_clojure_docs_1 Jenkinsfile_website_java_docs_1 ubuntu_cpu_lite_1 bat_1 Jenkinsfile_website_julia_docs_1 macos_1 windows_1 ini_1 format_1 ubuntu_base_gpu_1 ubuntu_base_cpu_1 Jenkinsfile_centos_gpu_1 scala_1 xml_1 Jenkinsfile_release_job_1 cfg_1 Jenkinsfile_edge_1 arm_qemu_1 inittab_1 cpp_1 Dockerfile_1 CODEOWNERS_1 JenkinsfileForMBCC_1 JenkinsfileForBinaries_1 README_1 win_1 openmp_1 mshadow_1
eric-haibin-lin,2016-03-27 00:00:00,issue comment,2020-08-18 22:30:18,Reviewed PR 18958,1606,-7,10,212,1742,0.1320049813200498,174,0.10834371108343711,38,0.023661270236612703,320878,199.79950186799502,1513.5754716981132,131,762,3,134,0.08343711083437111,0.003937007874015748,2.4514370323883862e-06,272,235,515,1427,787,0.4900373599003736,0.8639705882352942,0.0005379642517031719,476,149,7,py_847 md_255 h_231 cc_199 clj_134 pm_96 sh_86 R_62 cu_46 scala_46 st_41 java_38 t_38 gitignore_29 cpp_22 Makefile_19 jl_17 xml_17 pl_14 Rmd_11 cuh_11 cmake_10 txt_9 LICENSE_8 hpp_8 ipynb_8 yml_7 groovy_7 Jenkinsfile_unix_gpu_6 json_6 MANIFEST_6 i_6 PL_6 rst_5 Jenkinsfile_5 README_5 Changes_5 png_4 mk_3 properties_3 cfg_3 pyx_3 bat_3 mshadow_3 nnvm_3 00Index_2 Jenkinsfile_unix_cpu_2 Jenkinsfile_miscellaneous_2 DESCRIPTION_2 ubuntu_2 names_2 proto_2 gradle_2 ps-lite_2 CODEOWNERS_2 dmlc-core_2 gitmodules_2 KEYS_2 Jenkinsfile_website_r_docs_1 win_1 Jenkinsfile_windows_cpu_1 Jenkinsfile_website_c_docs_1 Jenkinsfile_website_full_1 Jenkinsfile_website_java_docs_1 Jenkinsfile_website_scala_docs_1 lein-cljfmt-check_1 Jenkinsfile_website_julia_docs_1 Jenkinsfile_website_full_pr_1 gitattributes_1 Jenkinsfile_centos_cpu_1 Rbuildignore_1 Jenkinsfile_website_clojure_docs_1 lein-cljfmt-fix_1 NAMESPACE_1 Jenkinsfile_website_nightly_1 toml_1 Makevars_1 Jenkinsfile_centos_gpu_1 pyi_1 ubuntu_cpu_julia_1 svg_1 ps1_1 edn_1 common_1 ref_1 in_1 stg_1 gradlew_1 g4_1 PNG_1 csv_1 jpg_1 Jenkinsfile_edge_1 rat-excludes_1 dlpack_1 yaml_1 NOTICE_1 html_1
vchuravy,2015-10-28 00:00:00,issue comment,2018-02-27 00:00:00,pr comment,854,9,14,204,142,0.2388758782201405,30,0.0351288056206089,174,0.20374707259953162,15915,18.63583138173302,78.01470588235294,9,51,4,13,0.01522248243559719,0.0784313725490196,9.184001469440235e-05,30,21,2,65,32,0.03747072599531616,0.7,0.000819672131147541,462,30,4,jl_286 md_60 rst_37 h_28 yml_20 cc_12 py_10 cu_10 REQUIRE_5 sh_5 Makefile_3 i_1 hpp_1 mk_1 dmlc-core_1 mshadow_1 png_1 svg_1 gitignore_1
