,project,name,join date,last active,timezone,worktime,duration,followers,total commits,collaborations,authored files,languages,commit rate,code commits,code commit rate,non code commits,non code commit rate,code contribution,code contribution rate,code contribution density,total issues,issue participated,issue comments received,issue solved,issue solving ratio,issue solving rate,issue contribution,issue contribution rate,total pull requests,pr participated,pr reviewed,pr merged,pr approval ratio,pr comments received,pr contribution,pr contribution rate
0,deeplearning4j,agibsonccc,2014-04-01 15:56:21,2023-12-09 12:35:47,9,17,3539,545,1535,56,7365,8,0.4337383441650184,989,0.279457473862673,546,0.1542808703023453,8254008,2332.299519638316,5377.203908794788,100,1761,2.04,296,0.1680863145939806,0.0836394461712348,396,0.111896015823679,688,762,239,636,0.9244186046511628,1.2659883720930232,927,0.26193840067815766
1,deeplearning4j,raver119,2015-05-19 17:33:25,2020-07-03 08:46:08,3,8,1872,57,292,29,2402,6,0.1559829059829059,264,0.141025641025641,28,0.0149572649572649,283662,151.52884615384616,971.445205479452,185,1648,2.5513513513513515,55,0.0333737864077669,0.0293803418803418,240,0.1282051282051282,378,444,145,350,0.9259259259259259,1.4497354497354498,523,0.2793803418803419
2,deeplearning4j,AlexDBlack,2015-05-26 02:58:01,2020-07-14 10:29:33,10,12,1877,234,274,35,4709,7,0.1459776238678742,247,0.1315929675013319,27,0.0143846563665423,713774,380.2738412360149,2605.014598540146,1166,1562,2.417667238421956,64,0.0409731113956466,0.0340969632392115,1230,0.6553010122535962,1059,806,267,1008,0.9518413597733711,0.8092540132200189,1326,0.7064464571124134
3,deeplearning4j,quickwritereader,2019-12-17 06:42:09,2022-08-01 05:31:56,2,9,958,10,136,9,1704,8,0.1419624217118998,113,0.1179540709812108,23,0.0240083507306889,892878,932.0229645093946,6565.279411764706,0,28,0.0,5,0.1785714285714285,0.0052192066805845,5,0.0052192066805845,83,27,23,73,0.8795180722891566,1.2409638554216869,106,0.11064718162839249
4,deeplearning4j,shugeo,2018-05-18 06:13:25,2020-06-08 10:14:22,3,15,753,3,84,14,240,4,0.1115537848605577,76,0.1009296148738379,8,0.0106241699867197,25504,33.86985391766268,303.6190476190476,4,78,2.0,8,0.1025641025641025,0.0106241699867197,12,0.0159362549800796,71,2,0,59,0.8309859154929577,0.323943661971831,71,0.09428950863213811
5,deeplearning4j,alexanderst,2019-01-21 14:06:12,2020-04-23 05:26:15,3,19,458,4,48,10,1056,4,0.1048034934497816,31,0.0676855895196506,17,0.037117903930131,47785,104.33406113537116,995.5208333333334,38,76,2.789473684210526,5,0.0657894736842105,0.0109170305676855,43,0.093886462882096,28,0,0,17,0.6071428571428571,0.8214285714285714,28,0.0611353711790393
6,deeplearning4j,RobAltena,2016-12-31 04:13:16,2020-03-23 04:48:22,9,19,1179,32,39,9,141,1,0.0330788804071246,36,0.0305343511450381,3,0.0025445292620865,18122,15.370653095843936,464.6666666666667,30,22,2.1,4,0.1818181818181818,0.003392705682782,34,0.0288379983036471,20,3,2,16,0.8,3.45,22,0.018659881255301103
7,deeplearning4j,shyrma,2017-09-22 09:25:46,2020-06-11 17:15:13,2,7,994,23,38,13,520,3,0.0382293762575452,36,0.0362173038229376,2,0.0020120724346076,77410,77.87726358148893,2037.1052631578948,6,107,4.0,4,0.0373831775700934,0.0040241448692152,10,0.0100603621730382,77,7,3,66,0.8571428571428571,0.44155844155844154,80,0.08048289738430583
8,deeplearning4j,saudet,2016-03-18 05:30:37,2021-11-02 23:08:00,9,14,2056,395,30,32,421,5,0.0145914396887159,22,0.0107003891050583,8,0.0038910505836575,32795,15.950875486381324,1093.1666666666667,12,579,10.083333333333334,2,0.003454231433506,0.0009727626459143,14,0.0068093385214007,136,195,104,135,0.9926470588235294,2.411764705882353,240,0.11673151750972763
9,deeplearning4j,olegsemeniv,2019-12-16 05:59:42,2020-04-16 11:53:56,2,6,123,0,23,4,306,3,0.1869918699186991,23,0.1869918699186991,0,0.0,44975,365.650406504065,1955.434782608696,1,9,3.0,11,1.2222222222222223,0.089430894308943,12,0.0975609756097561,1,0,0,0,0.0,0.0,1,0.008130081300813009
10,deeplearning4j,aboulang2002,2018-10-19 11:23:57,2022-01-25 19:33:34,-4,22,1195,3,19,11,168,1,0.0158995815899581,19,0.0158995815899581,0,0.0,17847,14.934728033472805,939.3157894736842,2,13,3.0,0,0.0,0.0,2,0.001673640167364,22,1,1,17,0.7727272727272727,8.545454545454545,23,0.019246861924686193
11,deeplearning4j,farizrahman4u,2018-04-30 20:14:30,2020-06-29 06:48:25,4,13,791,1067,18,11,325,2,0.02275600505689,18,0.02275600505689,0,0.0,20369,25.75094816687737,1131.611111111111,3,29,5.666666666666667,3,0.1034482758620689,0.0037926675094816,6,0.0075853350189633,97,5,1,81,0.8350515463917526,0.9381443298969072,98,0.12389380530973451
12,deeplearning4j,dariuszzbyrad,2019-03-19 08:51:14,2020-09-16 04:29:10,2,13,547,0,14,6,594,1,0.0255941499085923,14,0.0255941499085923,0,0.0,1465,2.6782449725776964,104.64285714285714,4,0,1.75,0,0.0,0.0,4,0.0073126142595978,25,2,0,20,0.8,0.36,25,0.04570383912248629
13,deeplearning4j,ShamsUlAzeem,2017-11-08 21:53:56,2021-05-19 07:27:20,5,15,1288,20,11,10,324,3,0.0085403726708074,8,0.0062111801242236,3,0.0023291925465838,1250639,970.9930124223604,113694.45454545454,4,5,2.25,0,0.0,0.0,4,0.0031055900621118,9,4,0,6,0.6666666666666666,5.444444444444445,9,0.006987577639751553
14,deeplearning4j,sshepel,2018-02-11 08:11:32,2020-07-29 11:23:44,3,11,900,6,11,20,203,2,0.0122222222222222,2,0.0022222222222222,9,0.01,6796,7.551111111111111,617.8181818181819,16,76,2.6875,1,0.0131578947368421,0.0011111111111111,17,0.0188888888888888,42,155,30,37,0.8809523809523809,2.1904761904761907,72,0.08
