Commit#,Author,Message,Time,Changed Files,Additions,Deletions,Parents,Number of Comments,Timezone
c0293ded9abe8ac7719cceb0095fa9dff807d2fe,ageron,Add support for Keras masking and causal masking,2022-05-29 04:09:29,keras/layers/attention/multi_head_attention.py keras/layers/attention/multi_head_attention_test.py,135,2,8878ccb8a1f8584016d352be0007e209620dd93d,0,12
253dc4604479b832dd254d0d348c0b3e7e53fe0f,haifeng-jin,"Reformatting the code base with isort.

PiperOrigin-RevId: 451564271",2022-05-28 05:00:34,keras/datasets/mnist.py keras/initializers/__init__.py keras/applications/convnext.py keras/engine/input_layer.py keras/layers/core/lambda_layer.py keras/preprocessing/text.py keras/layers/attention/additive_attention.py keras/legacy_tf_layers/core.py keras/layers/locally_connected/locally_connected_test.py keras/layers/pooling/global_max_pooling2d.py keras/callbacks_v1.py keras/layers/rnn/time_distributed.py keras/layers/pooling/global_average_pooling1d.py keras/layers/reshaping/cropping2d.py keras/applications/imagenet_utils.py keras/engine/sequential.py keras/layers/convolutional/conv3d.py keras/optimizers/optimizer_v2/adagrad.py keras/optimizers/optimizer_experimental/rmsprop.py keras/feature_column/dense_features_v2_test.py keras/preprocessing/image.py keras/models/cloning.py keras/layers/rnn/gru_lstm_utils.py keras/saving/model_config.py keras/integration_test/tpu_strategy_test.py keras/optimizers/legacy_learning_rate_decay.py keras/distribute/ctl_correctness_test.py keras/layers/merging/add.py keras/optimizers/legacy/adam.py keras/layers/attention/multi_head_attention.py keras/layers/preprocessing/benchmarks/category_vocab_list_dense_benchmark.py keras/layers/preprocessing/hashed_crossing.py keras/optimizers/optimizer_v2/adam.py keras/premade_models/wide_deep.py keras/optimizers/optimizer_experimental/nadam.py keras/mixed_precision/policy.py keras/optimizers/schedules/learning_rate_schedule.py keras/applications/inception_v3.py keras/distribute/sidecar_evaluator_test.py keras/layers/reshaping/zero_padding3d.py keras/optimizers/optimizer_v2/optimizer_v2_test.py keras/optimizers/optimizer_v2/utils.py keras/layers/pooling/global_max_pooling3d.py keras/layers/preprocessing/benchmarks/embedding_dense_benchmark.py keras/losses.py keras/engine/training_generator_v1.py keras/engine/input_spec.py keras/engine/functional_test.py keras/__init__.py keras/applications/resnet.py keras/layers/convolutional/conv2d.py keras/datasets/cifar100.py keras/layers/activation/thresholded_relu.py keras/layers/preprocessing/benchmarks/weighted_embedding_varlen_benchmark.py keras/layers/rnn/stacked_rnn_cells.py keras/datasets/cifar10.py keras/layers/reshaping/up_sampling_test.py keras/legacy_tf_layers/migration_utils.py keras/benchmarks/model_components_benchmarks_test.py keras/layers/core/activation.py keras/layers/rnn/lstm_v1_test.py keras/dtensor/lazy_variable.py keras/layers/normalization/unit_normalization.py keras/metrics/metrics.py keras/layers/activation/leaky_relu.py keras/optimizers/legacy/rmsprop.py keras/applications/resnet_rs.py keras/models/sharpness_aware_minimization.py keras/layers/regularization/spatial_dropout3d.py keras/distribute/multi_worker_testing_utils.py keras/optimizers/legacy/ftrl.py keras/legacy_tf_layers/variable_scope_shim.py keras/distribute/distribute_strategy_test.py keras/layers/preprocessing/hashing_distribution_test.py keras/optimizers/legacy/optimizer.py keras/layers/rnn/gru.py keras/engine/keras_tensor.py keras/layers/kernelized.py keras/api/tests/api_compatibility_test.py keras/layers/rnn/base_rnn_test.py keras/legacy_tf_layers/pooling_test.py keras/layers/preprocessing/benchmarks/category_vocab_file_dense_benchmark.py keras/layers/rnn/rnn_utils.py keras/benchmarks/optimizer_benchmarks_test.py keras/layers/merging/minimum.py keras/layers/rnn/abstract_rnn_cell.py keras/layers/rnn/base_wrapper.py keras/optimizers/optimizer_experimental/adamax.py keras/optimizers/optimizer_v2/ftrl.py keras/feature_column/dense_features_v2.py keras/layers/pooling/average_pooling2d.py keras/layers/pooling/max_pooling2d.py keras/layers/rnn/conv_lstm3d.py keras/optimizers/optimizers_test.py keras/layers/reshaping/reshape.py keras/saving/hdf5_format.py keras/layers/preprocessing/benchmarks/category_vocab_list_varlen_benchmark.py keras/layers/rnn/legacy_cell_wrappers.py keras/layers/regularization/spatial_dropout2d.py keras/optimizers/optimizer_v2/nadam.py keras/integration_test/gradient_checkpoint_test.py keras/layers/rnn/cell_wrappers.py keras/engine/functional.py keras/layers/rnn/simple_rnn.py keras/applications/mobilenet_v2.py keras/engine/base_layer_utils.py keras/engine/training_test.py keras/feature_column/dense_features_test.py keras/layers/convolutional/depthwise_conv2d.py keras/layers/preprocessing/text_vectorization_distribution_test.py keras/layers/regularization/dropout.py keras/layers/reshaping/flatten.py keras/distribute/parameter_server_evaluation_test.py keras/layers/reshaping/up_sampling2d.py keras/mixed_precision/loss_scale_optimizer_test.py keras/optimizers/optimizer_v2/rmsprop_test.py keras/layers/reshaping/up_sampling1d.py keras/distribute/distribute_coordinator_utils.py keras/applications/densenet.py keras/engine/input_layer_test.py keras/initializers/initializers_v2.py keras/distribute/sidecar_evaluator.py keras/integration_test/central_storage_strategy_test.py keras/applications/efficientnet.py keras/benchmarks/eager_microbenchmarks_test.py keras/api/create_python_api_wrapper.py keras/layers/preprocessing/benchmarks/category_vocab_list_indicator_dense_benchmark.py keras/layers/preprocessing/benchmarks/hashed_crossing_benchmark.py keras/engine/data_adapter.py keras/layers/preprocessing/text_vectorization.py keras/layers/regularization/spatial_dropout1d.py keras/backend.py keras/layers/merging/average.py keras/layers/rnn/lstm.py keras/layers/activation/prelu.py keras/optimizers/legacy/adadelta.py keras/legacy_tf_layers/convolutional.py keras/premade_models/linear.py keras/layers/rnn/bidirectional.py keras/layers/preprocessing/integer_lookup.py keras/applications/mobilenet_v3.py keras/datasets/imdb.py keras/layers/rnn/cudnn_test.py keras/distribute/custom_training_loop_metrics_test.py keras/optimizers/optimizer_experimental/sgd.py keras/applications/regnet.py keras/mixed_precision/policy_test.py keras/layers/__init__.py keras/distribute/mirrored_strategy_test.py keras/engine/base_layer.py keras/layers/preprocessing/image_preprocessing_test.py keras/layers/reshaping/up_sampling3d.py keras/engine/training_arrays_test.py keras/layers/preprocessing/benchmarks/category_vocab_list_indicator_varlen_benchmark.py keras/layers/preprocessing/image_preprocessing.py keras/dtensor/optimizers.py keras/optimizers/optimizer_experimental/optimizer.py keras/layers/reshaping/zero_padding1d.py keras/layers/convolutional/conv2d_transpose.py keras/dtensor/layout_map.py keras/legacy_tf_layers/normalization.py keras/layers/reshaping/permute.py keras/layers/activation/softmax.py keras/applications/efficientnet_v2.py keras/engine/base_preprocessing_layer.py keras/applications/xception.py keras/distribute/dataset_creator_model_fit_test_base.py keras/layers/convolutional/conv_test.py keras/layers/core/dense.py keras/layers/merging/dot.py keras/layers/preprocessing/normalization.py keras/engine/training_dataset_test.py keras/layers/regularization/gaussian_dropout.py keras/regularizers.py keras/callbacks.py keras/layers/preprocessing/benchmarks/category_vocab_file_varlen_benchmark.py keras/layers/preprocessing/benchmarks/category_hash_varlen_benchmark.py keras/optimizers/__init__.py keras/optimizers/optimizer_v2/rmsprop.py keras/callbacks_test.py keras/layers/merging/multiply.py keras/layers/preprocessing/category_encoding_distribution_test.py keras/engine/sequential_test.py keras/applications/resnet_v2.py keras/layers/convolutional/conv1d_transpose.py keras/mixed_precision/loss_scale_optimizer.py keras/legacy_tf_layers/variable_scope_shim_test.py keras/layers/core/tf_op_layer.py keras/layers/pooling/global_average_pooling3d.py keras/layers/reshaping/zero_padding2d.py keras/layers/convolutional/conv1d.py keras/applications/mobilenet.py keras/layers/rnn/gru_test.py keras/layers/reshaping/cropping1d.py keras/layers/preprocessing/benchmarks/category_hash_dense_benchmark.py keras/applications/vgg19.py keras/layers/pooling/global_average_pooling2d.py keras/layers/rnn/lstm_test.py keras/optimizers/legacy/adagrad.py keras/saving/experimental/saving_lib.py keras/layers/convolutional/separable_conv2d.py keras/optimizers/legacy/sgd.py keras/layers/merging/maximum.py keras/layers/rnn/cudnn_gru.py keras/layers/rnn/lstm_v1.py keras/layers/reshaping/repeat_vector.py keras/optimizers/optimizer_v2/adamax.py keras/initializers/initializers_v1.py keras/optimizers/optimizer_v2/optimizer_v2.py keras/saving/save.py keras/legacy_tf_layers/base.py keras/layers/rnn/cudnn_lstm.py keras/layers/preprocessing/category_encoding.py keras/layers/preprocessing/index_lookup.py keras/layers/preprocessing/string_lookup.py keras/layers/regularization/activity_regularization.py keras/layers/merging/subtract.py keras/legacy_tf_layers/pooling.py keras/layers/convolutional/conv3d_transpose.py keras/optimizers/optimizer_experimental/adamw.py keras/losses_test.py keras/layers/rnn/conv_lstm2d.py keras/layers/attention/attention.py keras/layers/pooling/max_pooling1d.py keras/distribute/dataset_creator_model_fit_test.py keras/layers/convolutional/separable_conv1d.py keras/layers/normalization/layer_normalization.py keras/layers/pooling/max_pooling3d.py keras/layers/normalization/batch_normalization.py keras/layers/rnn/legacy_cells.py keras/optimizers/optimizer_v2/gradient_descent.py keras/engine/base_layer_v1.py keras/layers/rnn/time_distributed_test.py keras/mixed_precision/device_compatibility_check.py keras/layers/normalization/batch_normalization_v1.py keras/engine/training.py keras/optimizers/optimizer_experimental/adam.py keras/optimizers/optimizer_v2/adadelta.py keras/layers/regularization/alpha_dropout.py keras/preprocessing/sequence.py keras/datasets/reuters.py keras/estimator/__init__.py keras/layers/activation/elu.py keras/backend_config.py keras/layers/regularization/gaussian_noise.py keras/applications/nasnet.py keras/applications/vgg16.py keras/distribute/distributed_training_utils_v1.py keras/engine/training_distributed_v1.py keras/legacy_tf_layers/core_test.py keras/mixed_precision/device_compatibility_check_test.py keras/engine/training_utils_v1.py keras/layers/preprocessing/benchmarks/bucketized_column_dense_benchmark.py keras/activations.py keras/datasets/boston_housing.py keras/layers/rnn/bidirectional_test.py keras/optimizers/optimizer_experimental/adadelta.py keras/optimizers/optimizer_experimental/ftrl.py keras/backend_test.py keras/engine/training_arrays_v1.py keras/distribute/custom_training_loop_optimizer_test.py keras/layers/core/embedding.py keras/layers/preprocessing/benchmarks/embedding_varlen_benchmark.py keras/layers/preprocessing/discretization.py keras/layers/preprocessing/hashing.py keras/metrics/__init__.py keras/optimizers/legacy/nadam.py keras/engine/training_eager_v1.py keras/layers/pooling/global_max_pooling1d.py keras/layers/pooling/average_pooling1d.py keras/engine/training_v1.py keras/layers/locally_connected/locally_connected2d.py keras/layers/preprocessing/index_lookup_distribution_test.py keras/layers/rnn/conv_lstm1d.py keras/legacy_tf_layers/normalization_test.py keras/layers/activation/relu.py keras/layers/merging/concatenate.py keras/feature_column/sequence_feature_column.py keras/optimizers/legacy/adamax.py keras/layers/convolutional/depthwise_conv1d.py keras/layers/rnn/gru_v1.py keras/engine/data_adapter_test.py keras/feature_column/sequence_feature_column_integration_test.py keras/layers/rnn/base_rnn.py keras/layers/kernelized_test.py keras/layers/pooling/average_pooling3d.py keras/layers/locally_connected/locally_connected1d.py keras/applications/inception_resnet_v2.py keras/metrics/confusion_matrix_test.py keras/layers/reshaping/cropping3d.py keras/optimizers/optimizer_experimental/adagrad.py keras/constraints.py keras/datasets/fashion_mnist.py keras/dtensor/test_util.py keras/engine/training_utils_v1_test.py keras/layers/core/einsum_dense.py keras/layers/core/masking.py keras/metrics/base_metric.py keras/layers/serialization.py keras/feature_column/dense_features.py,1266,642,059781f3b02ff01d419637c76de833002869ff92,0,-7
059781f3b02ff01d419637c76de833002869ff92,tensorflower-gardener,"Merge pull request #16617 from haifeng-jin:flake8

PiperOrigin-RevId: 451558871",2022-05-28 04:15:05,keras/datasets/mnist.py keras/distribute/keras_utils_test.py keras/metrics/metrics_correctness_test.py keras/applications/efficientnet_v2.py keras/distribute/multi_worker_test.py keras/distribute/optimizer_combinations.py keras/engine/training_dataset_test.py keras/distribute/strategy_combinations.py keras/feature_column/sequence_feature_column_test.py keras/distribute/keras_embedding_model_correctness_test.py keras/engine/training.py keras/optimizers/optimizer_v2/ftrl.py keras/utils/audio_dataset_test.py keras/callbacks_test.py keras/integration_test/multi_worker_tutorial_test.py keras/engine/training_gpu_test.py keras/datasets/reuters.py keras/distribute/checkpointing_test.py keras/distribute/collective_all_reduce_strategy_test.py keras/layers/core/core_test.py keras/distribute/keras_optimizer_v2_test.py keras/mixed_precision/loss_scale_optimizer.py keras/legacy_tf_layers/variable_scope_shim_test.py keras/mixed_precision/mixed_precision_graph_rewrite_test.py keras/saving/saved_model/save_impl.py keras/distribute/ctl_correctness_test.py keras/saving/save_test.py keras/distribute/keras_rnn_model_correctness_test.py keras/distribute/saved_model_test_base.py keras/distribute/sharded_variable_test.py keras/optimizers/optimizer_experimental/ftrl.py keras/optimizers/optimizer_v2/rmsprop_test.py keras/datasets/boston_housing.py keras/metrics/metrics_test.py keras/engine/training_arrays_v1.py keras/distribute/custom_training_loop_optimizer_test.py keras/distribute/keras_image_model_correctness_test.py keras/metrics/base_metric_test.py keras/tests/tracking_util_with_v1_optimizers_test.py keras/saving/saved_model/revive_test.py keras/tests/automatic_outside_compilation_test.py keras/distribute/keras_premade_models_test.py keras/distribute/mirrored_variable_test.py keras/engine/training_v1.py setup.cfg keras/optimizers/optimizer_v2/utils.py keras/utils/layer_utils_test.py keras/feature_column/sequence_feature_column.py keras/distribute/keras_dnn_correctness_test.py keras/optimizers/optimizer_v2/optimizer_v2.py keras/datasets/imdb.py keras/datasets/cifar100.py keras/distribute/minimize_loss_test.py keras/mixed_precision/autocast_variable_test.py keras/datasets/cifar10.py keras/metrics/metrics.py keras/saving/saved_model/saved_model_test.py keras/distribute/mirrored_strategy_test.py keras/tests/model_subclassing_test.py keras/optimizers/optimizer_experimental/optimizer.py keras/dtensor/optimizers.py keras/metrics/base_metric.py keras/distribute/multi_worker_callback_tf2_test.py keras/distribute/keras_stateful_lstm_model_correctness_test.py keras/distribute/distribute_strategy_test.py,266,255,c4a4b38336e47e6bedbf2791a048dfa735efa6b1 7c46f914413fafe472e0c577ecb10e310543cd50,0,-7
7c46f914413fafe472e0c577ecb10e310543cd50,haifeng-jin,"let the linter ignore certain lines, prepare to enforce line length",2022-05-28 02:06:29,keras/datasets/mnist.py keras/distribute/keras_utils_test.py keras/metrics/metrics_correctness_test.py keras/applications/efficientnet_v2.py keras/distribute/multi_worker_test.py keras/distribute/optimizer_combinations.py keras/engine/training_dataset_test.py keras/distribute/strategy_combinations.py keras/feature_column/sequence_feature_column_test.py keras/distribute/keras_embedding_model_correctness_test.py keras/engine/training.py keras/optimizers/optimizer_v2/ftrl.py keras/utils/audio_dataset_test.py keras/callbacks_test.py keras/integration_test/multi_worker_tutorial_test.py keras/engine/training_gpu_test.py keras/datasets/reuters.py keras/distribute/checkpointing_test.py keras/distribute/collective_all_reduce_strategy_test.py keras/layers/core/core_test.py keras/distribute/keras_optimizer_v2_test.py keras/mixed_precision/loss_scale_optimizer.py keras/legacy_tf_layers/variable_scope_shim_test.py keras/mixed_precision/mixed_precision_graph_rewrite_test.py keras/saving/saved_model/save_impl.py keras/distribute/ctl_correctness_test.py keras/saving/save_test.py keras/distribute/keras_rnn_model_correctness_test.py keras/distribute/saved_model_test_base.py keras/distribute/sharded_variable_test.py keras/optimizers/optimizer_experimental/ftrl.py keras/optimizers/optimizer_v2/rmsprop_test.py keras/datasets/boston_housing.py keras/metrics/metrics_test.py keras/engine/training_arrays_v1.py keras/distribute/custom_training_loop_optimizer_test.py keras/distribute/keras_image_model_correctness_test.py keras/metrics/base_metric_test.py keras/tests/tracking_util_with_v1_optimizers_test.py keras/saving/saved_model/revive_test.py keras/tests/automatic_outside_compilation_test.py keras/distribute/keras_premade_models_test.py keras/distribute/mirrored_variable_test.py keras/engine/training_v1.py setup.cfg keras/optimizers/optimizer_v2/utils.py keras/utils/layer_utils_test.py keras/feature_column/sequence_feature_column.py keras/distribute/keras_dnn_correctness_test.py keras/optimizers/optimizer_v2/optimizer_v2.py keras/datasets/imdb.py keras/datasets/cifar100.py keras/distribute/minimize_loss_test.py keras/mixed_precision/autocast_variable_test.py keras/datasets/cifar10.py keras/metrics/metrics.py keras/saving/saved_model/saved_model_test.py keras/distribute/mirrored_strategy_test.py keras/tests/model_subclassing_test.py keras/optimizers/optimizer_experimental/optimizer.py keras/dtensor/optimizers.py keras/metrics/base_metric.py keras/distribute/multi_worker_callback_tf2_test.py keras/distribute/keras_stateful_lstm_model_correctness_test.py keras/distribute/distribute_strategy_test.py,266,255,2755042c63fee244b394831dfc0ac6a989d70e62,0,0
c4a4b38336e47e6bedbf2791a048dfa735efa6b1,tensorflower-gardener,"Merge pull request #16537 from szutenberg:optimize_l2

PiperOrigin-RevId: 451543422",2022-05-28 02:34:44,keras/regularizers.py,4,2,2755042c63fee244b394831dfc0ac6a989d70e62 f0403113502897ce169725d360c1e25863e08089,0,-7
2755042c63fee244b394831dfc0ac6a989d70e62,chenmoneygithub,"Update the training flow to be able to use mixed precision with new optimizer.

PiperOrigin-RevId: 451442501",2022-05-27 18:47:46,keras/engine/BUILD keras/mixed_precision/loss_scale_optimizer.py keras/engine/training_test.py keras/engine/training.py keras/mixed_precision/loss_scale_optimizer_test.py,53,2,4166ad05eaf6275e5442a93bca826c4396cd8758,0,-7
4166ad05eaf6275e5442a93bca826c4396cd8758,tensorflower-gardener,"Merge pull request #16614 from haifeng-jin:utils

PiperOrigin-RevId: 451434334",2022-05-27 18:10:20,keras/utils/control_flow_util.py keras/utils/tf_utils.py keras/utils/metrics_utils.py keras/utils/dataset_utils.py keras/utils/text_dataset_test.py keras/utils/composite_tensor_support_test.py keras/utils/conv_utils.py keras/utils/audio_dataset_test.py keras/utils/traceback_utils.py keras/utils/generic_utils_test.py keras/utils/kernelized_utils.py keras/utils/data_utils.py keras/utils/generic_utils.py keras/utils/kernelized_utils_test.py keras/utils/audio_dataset.py keras/utils/losses_utils.py keras/utils/kpl_test_utils.py keras/utils/image_utils.py keras/utils/dataset_creator.py keras/utils/tf_inspect.py keras/utils/image_dataset.py keras/utils/metrics_utils_test.py keras/utils/layer_utils_test.py keras/utils/layer_utils.py keras/tools/pip_package/create_pip_helper.py keras/utils/image_dataset_test.py keras/utils/timeseries_dataset.py keras/utils/timeseries_dataset_test.py keras/utils/text_dataset.py keras/utils/vis_utils.py keras/utils/object_identity.py keras/utils/version_utils.py,612,515,80ee2fa4e1db2dda14370110830db82be3eb97b7 5f3737cc7aac2a170a0b784582c9b56aef3bdfee,0,-7
5f3737cc7aac2a170a0b784582c9b56aef3bdfee,tensorflower-gardener,"Merge pull request #16609 from haifeng-jin:preprocessing

PiperOrigin-RevId: 451431347",2022-05-27 17:55:17,keras/preprocessing/image_test.py keras/preprocessing/image.py keras/preprocessing/text_test.py keras/preprocessing/text.py keras/preprocessing/sequence_test.py,198,180,5471bcd1498bc81dda8df4024fba8a91f465a467 7b5629dcf8d770e9e9fdc77ced3f87c8df0990a1,0,-7
5471bcd1498bc81dda8df4024fba8a91f465a467,tensorflower-gardener,"Merge pull request #16611 from haifeng-jin:saving

PiperOrigin-RevId: 451420098",2022-05-27 17:08:21,keras/saving/utils_v1/mode_keys.py keras/saving/saved_model/load.py keras/saving/saved_model/base_serialization.py keras/saving/utils_v1/export_utils.py keras/saving/hdf5_format.py keras/saving/saved_model_experimental_test.py keras/saving/saved_model/save_impl.py keras/saving/save_test.py keras/saving/saved_model/model_serialization.py keras/saving/saving_utils.py keras/saving/saved_model/order_preserving_set.py keras/saving/saved_model/revive_test.py keras/saving/save_weights_test.py keras/saving/saved_model_experimental.py keras/saving/experimental/saving_lib.py keras/saving/saving_utils_test.py keras/saving/pickle_utils_test.py keras/saving/utils_v1/export_output.py keras/saving/save.py keras/saving/saved_model/save.py keras/saving/saved_model/utils.py keras/saving/saved_model/saved_model_test.py keras/saving/saved_model/json_utils.py keras/saving/saved_model/layer_serialization.py keras/saving/experimental/saving_lib_test.py keras/saving/utils_v1/signature_def_utils.py keras/saving/saved_model/serialized_attributes.py,654,547,26e10f4f36cb49302026eefba922f61fcf121c51 b0ffc0031e9c1964e7398ca47c6666bbfc0d5086,0,-7
26e10f4f36cb49302026eefba922f61fcf121c51,tensorflower-gardener,"Merge pull request #16612 from haifeng-jin:testing_infra

PiperOrigin-RevId: 451420063",2022-05-27 17:04:57,keras/testing_infra/test_utils.py keras/testing_infra/test_combinations.py keras/testing_infra/keras_doctest_lib.py,86,73,37055edc159d9c851262bb657b0f3e1e2254a435 c9b7142a831a3eabbc248e72f98eb06a41428f88,0,-7
