Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
fchollet,2015-03-28 00:35:42,Commit 1f0bd8cac393d7da2e5845b5ffce5f4a8568006f,2022-04-28 00:00:00,pr comment,2588,-7,15,2471,1321,0.9547913446676971,2184,0.8438948995363215,287,0.11089644513137557,319130,123.3114374034003,129.1501416430595,37,4802,9,46,0.01777434312210201,0.001874219075385256,7.241959333018764e-07,48,43,1413,3673,1461,0.5645285935085008,0.8958333333333334,0.0003461488923235446,14385,93,2,py_6059 pbtxt_766 md_673 yml_94 BUILD_74 gitignore_16 html_10 ini_9 LICENSE_5 css_4 js_3 coveragerc_2 sh_1 in_1 Makefile_1 Dockerfile_1 cfg_1
qlzh727,2018-08-28 00:00:00,pr comment,2022-04-28 22:20:50,Commit 78fd5adeb16f0dc6e3e6851a7786b3d56938ff99,1340,-7,11,274,1350,0.2044776119402985,203,0.15149253731343285,71,0.05298507462686567,218336,162.93731343283582,796.8467153284671,0,73,1,1,0.0007462686567164179,0.0136986301369863,1.0222858311183806e-05,18,11,28,91,46,0.034328358208955224,0.6111111111111112,0.0004560530679933665,172,6,2,py_2444 pbtxt_1417 BUILD_344 md_35 txt_19 sh_16 bzl_13 cfg_13 html_10 WORKSPACE_4 js_3 yml_2 proto_2 css_2 png_1 bazelrc_1 files_1 in_1
farizrahman4u,2015-09-25 05:44:53,Commit d5cd2687ede558b6c9e83f3d38e61d5b9ec1b77d,2019-11-09 00:00:00,issue comment,1506,5,23,209,188,0.1387782204515272,201,0.13346613545816732,8,0.005312084993359893,29640,19.681274900398407,141.8181818181818,17,270,0,17,0.011288180610889775,0.0,0.0,140,95,25,229,165,0.10956175298804781,0.6785714285714286,0.00045057863782963387,1022,45,1,py_413 md_56 yml_4 gitignore_1 ini_1 LICENSE_1
taehoonlee,2017-05-04 07:49:38,Raise PR 6497,2020-01-10 00:00:00,pr comment,981,9,3,163,122,0.16615698267074414,143,0.145769622833843,20,0.020387359836901122,11655,11.880733944954128,71.50306748466258,1,38,0,1,0.0010193679918450561,0.0,0.0,197,163,60,304,257,0.2619775739041794,0.8274111675126904,0.0008434364602575845,435,22,1,py_350 md_17 yml_12 ini_9 coveragerc_8 Makefile_1 Dockerfile_1
gabrieldemarmiesse,2017-03-27 00:00:00,issue comment,2020-09-09 00:00:00,issue comment,1263,2,19,123,110,0.09738717339667459,102,0.08076009501187649,21,0.0166270783847981,6469,5.121931908155186,52.59349593495935,47,870,0,47,0.03721298495645289,0.0,0.0,171,132,118,400,289,0.2288202692003167,0.7719298245614035,0.0006111875095498048,251,33,2,py_243 yml_20 md_10 ini_5 coveragerc_2 sh_1 Dockerfile_1
ozabluda,2017-07-05 10:10:12,Reviewed PR 7239,2019-03-23 00:00:00,pr comment,626,-8,12,107,52,0.17092651757188498,103,0.1645367412140575,4,0.006389776357827476,2224,3.5527156549520766,20.785046728971963,13,56,0,13,0.020766773162939296,0.0,0.0,122,107,3,170,125,0.19968051118210864,0.8770491803278688,0.0014010370292777458,16,21,1,py_145 md_4
mattdangerw,2021-02-23 03:39:46,Commit 08fb0c6027b43eee9a0367fdc22a4c958ab564c3,2022-04-27 00:00:00,issue comment,428,-7,11,87,197,0.20327102803738317,82,0.19158878504672897,5,0.011682242990654205,33615,78.53971962616822,386.37931034482756,0,36,1,1,0.002336448598130841,0.027777777777777776,6.490134994807892e-05,3,3,8,17,11,0.02570093457943925,1.0,0.002336448598130841,61,3,1,py_301 pbtxt_131 BUILD_22 md_1
maxpumperla,2015-07-08 12:30:32,Commit 5cbe62c248f4616c133185e02802327a54f2fc4e,2018-10-09 00:00:00,issue comment,1189,1,14,66,73,0.05550883095037847,65,0.054667788057190914,1,0.0008410428931875525,10875,9.146341463414634,164.77272727272728,0,11,0,0,0.0,0.0,0.0,6,5,0,9,6,0.005046257359125316,0.8333333333333334,0.0007008690776562938,796,4,1,py_149 md_14 yml_3 gitignore_3
EderSantana,2015-07-15 14:38:31,Raise Issue 395,2018-11-27 02:30:56,Raise Issue 11740,1231,-4,18,65,31,0.05280259951259139,61,0.04955320877335499,4,0.003249390739236393,1723,1.3996750609260764,26.50769230769231,33,198,1,34,0.02761982128350934,0.005050505050505051,4.1027660848944364e-06,41,30,2,89,43,0.034930950446791224,0.7317073170731707,0.000594400744982267,666,33,1,py_92 md_7
phreeza,2015-05-25 00:00:00,issue comment,2016-03-18 00:00:00,issue comment,299,2,14,62,83,0.20735785953177258,57,0.19063545150501673,5,0.016722408026755852,8118,27.150501672240804,130.93548387096774,5,32,1,6,0.020066889632107024,0.03125,0.00010451505016722408,14,12,0,31,14,0.046822742474916385,0.8571428571428571,0.0028666985188724316,64,8,1,py_159 md_21 yml_5 gitignore_3 cfg_1
