,Commit#,Author,Message,Time,Changed Files,Additions,Deletions,Parents,Number of Comments,Timezone
0,b8ab0ed286ffd0b0020a367e078f66bdc3303db5,bddppq,Bulk commit for releasing Open Neural Network Exchange (ONNX),2017-09-07 04:47:53,setup.py onnx/checker.py onnx/defs/logical/defs.cc README.md onnx/test/helper_test.py onnx/__init__.py onnx/test/relu_test.py onnx/cpp2py_export.cc onnx/backend/base.py .travis/install.sh docs/Overview.md onnx/defs/rnn/defs.cc .travis/build.sh onnx/defs/gen_doc.py .travis.yml onnx/defs/generator/defs.cc onnx/defs/schema.cc docs/IR.md onnx/frontend/__init__.py onnx/defs/__init__.py onnx/backend/__init__.py onnx/defs/tensor/defs.cc onnx/helper.py onnx/examples/Protobufs.ipynb onnx/defs/schema.h onnx/test/basic_test.py setup.cfg onnx/test/schema_test.py onnx/numpy_helper.py onnx/onnx.proto .gitignore conda/meta.yaml .travis/common onnx/defs/experiments/defs.cc onnx/test/numpy_helper_test.py conda/build.sh LICENSE onnx/defs/reduction/defs.cc onnx/test/.gitignore onnx/defs/nn/defs.cc docs/Operators.md .gitmodules onnx/defs/math/defs.cc,5917,0,,0,-7
1,65eb4084d20408f789e5676938906bc44da6956d,bddppq,Add pybind11 submodule,2017-09-07 05:01:24,third_party/pybind11,1,0,b8ab0ed286ffd0b0020a367e078f66bdc3303db5,0,-7
2,bbe22f447a4f3c38642dc9ca7ba0e8dd1ebaef94,bddppq,python sdist,2017-09-07 07:43:29,README.md setup.py MANIFEST.in,6,4,65eb4084d20408f789e5676938906bc44da6956d,0,-7
3,a95219ffcd25b6f5b90d862b29d36a03fb17673c,ezyang,"Binary install documentation (#1)

* Update .gitignore for onnx_caffe2.egginfo

Signed-off-by: Edward Z. Yang <ezyang@fb.com>

* Binary install instructions.

Signed-off-by: Edward Z. Yang <ezyang@fb.com>

* Update installation instructions

* Revert gitignore changes

* Bring back the verification part",2017-09-07 08:13:33,README.md,12,0,bbe22f447a4f3c38642dc9ca7ba0e8dd1ebaef94,0,-4
4,27fc24ad88c3c685305d8932b793cda4f976b3ab,bddppq,Mark experimental operator (#2),2017-09-07 16:38:59,docs/Operators.md onnx/defs/experiments/defs.cc,1,43,a95219ffcd25b6f5b90d862b29d36a03fb17673c,0,-7
5,83edc0cb2f1feaa04475cffc9da9eb522df33e27,bddppq,"Pr/str check compat (#4)

* Mark experimental operator

* Python 2 and 3 compatible string type check",2017-09-08 00:33:45,onnx/backend/base.py setup.py,4,2,27fc24ad88c3c685305d8932b793cda4f976b3ab,0,-7
6,b47c63d5f382fdcfb19ac931884ace78d717d939,ezyang,"README improvements.

Signed-off-by: Edward Z. Yang <ezyang@fb.com>",2017-09-08 15:18:57,README.md,20,4,83edc0cb2f1feaa04475cffc9da9eb522df33e27,0,-4
7,0b09f782de89d5c357ac07d7c2c0577d31df5000,bddppq,"Merge pull request #8 from onnx/pr/readme-improvements

README improvements.",2017-09-08 17:31:30,README.md,20,4,83edc0cb2f1feaa04475cffc9da9eb522df33e27 b47c63d5f382fdcfb19ac931884ace78d717d939,0,-7
8,e6631633261aff40ced10c78ed8e32ea70a0901c,andreh7,"fixed typo in Operators.md

GlobalMaxPooll -> GlobalMaxPool",2017-09-08 18:57:26,docs/Operators.md,1,1,0b09f782de89d5c357ac07d7c2c0577d31df5000,0,2
9,fbc294eeda722f6d06b119ef7542d2e9ae52bdc0,Yangqing,"Merge pull request #10 from andreh7/patch-1

fixed typo in Operators.md",2017-09-08 19:31:32,onnx/defs/nn/defs.cc docs/Operators.md,2,2,e6a095b4c9d7efc843423a3e2d59820ccc6f92a1 0b09f782de89d5c357ac07d7c2c0577d31df5000,0,-7
