Commit#,Author,Message,Time,Changed Files,Additions,Deletions,Parents,Number of Comments,Timezone
f81558d4b24e910cbd05990f09e4ae78b7452560,etiotto,"bump version to 1.12.0 (#4209)

* bump version to 1.12.0

Signed-off-by: Ettore Tiotto <etiotto@ca.ibm.com>

* Remove trailing white space

Signed-off-by: Ettore Tiotto <etiotto@ca.ibm.com>

Co-authored-by: Chun-Wei Chen <jacky82226@gmail.com>",2022-05-26 16:48:16,onnx/common/version.h docs/Versioning.md onnx/defs/schema.h onnx/test/helper_test.py onnx/helper.py VERSION_NUMBER,7,4,529f7cab88eed143fc9f0126147e9732585e4c5e,0,-4
529f7cab88eed143fc9f0126147e9732585e4c5e,justinchuby,Upgrade python syntax with pyupgrade (#4212),2022-05-25 20:33:55,onnx/backend/test/case/node/melweightmatrix.py docs/Operators.md onnx/test/symbolic_shape_test.py onnx/backend/test/data/node/test_tan/test_data_set_0/output_0.pb onnx/tools/net_drawer.py onnx/test/version_converter_test.py onnx/version_converter.py onnx/backend/test/data/node/test_simple_rnn_batchwise/test_data_set_0/output_1.pb onnx/backend/test/data/node/test_lstm_batchwise/test_data_set_0/output_0.pb onnx/test/test_backend_test.py onnx/backend/base.py onnx/onnx_cpp2py_export/version_converter.pyi onnx/backend/test/case/node/cast.py tools/gen_coverage_report.py onnx/helper.py onnx/backend/test/data/node/test_reduce_log_sum_exp_keepdims_example/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_reduce_log_sum_exp_keepdims_random/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_sinh/test_data_set_0/output_0.pb onnx/backend/test/case/model/__init__.py onnx/backend/test/case/__init__.py onnx/backend/test/case/node/castlike.py onnx/backend/test/data/node/test_reduce_log_sum_exp_do_not_keepdims_random/test_data_set_0/output_0.pb onnx/tools/update_model_dims.py onnx/test/test_external_data.py onnx/backend/test/case/node/hammingwindow.py onnx/external_data_helper.py onnx/utils.py onnx/backend/test/case/node/blackmanwindow.py onnx/backend/test/report/base.py onnx/backend/test/case/node/min.py onnx/backend/test/data/node/test_atanh/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_reduce_log_sum_exp_negative_axes_keepdims_random/test_data_set_0/output_0.pb onnx/backend/test/case/node/stft.py onnx/backend/test/report/__init__.py onnx/backend/test/case/utils.py onnx/checker.py setup.py onnx/backend/test/cmd_tools.py onnx/numpy_helper.py onnx/backend/test/data/node/test_lstm_with_initial_bias/test_data_set_0/output_0.pb onnx/test/helper_test.py onnx/backend/test/case/node/lstm.py onnx/compose.py onnx/backend/test/data/node/test_asin/test_data_set_0/output_0.pb onnx/backend/test/case/node/pad.py onnx/shape_inference.py onnx/test/basic_test.py onnx/backend/test/case/model/stringnormalizer.py onnx/test/automatic_upgrade_test.py onnx/onnx_cpp2py_export/defs.pyi onnx/backend/test/data/node/test_acosh_example/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_lstm_defaults/test_data_set_0/output_0.pb onnx/backend/test/case/node/einsum.py onnx/backend/test/data/node/test_cosh/test_data_set_0/output_0.pb onnx/parser.py onnx/onnx_cpp2py_export/parser.pyi onnx/backend/test/case/node/tfidfvectorizer.py onnx/backend/test/loader/__init__.py onnx/backend/test/case/node/concat.py onnx/onnx_cpp2py_export/checker.pyi onnx/backend/test/case/model/sequence.py onnx/test/shape_inference_test.py onnx/backend/test/case/node/__init__.py onnx/backend/test/case/node/stringnormalizer.py onnx/backend/test/case/node/gru.py workflow_scripts/test_generated_backend.py onnx/__init__.py docs/TestCoverage.md onnx/backend/test/data/node/test_lstm_batchwise/test_data_set_0/output_1.pb onnx/gen_proto.py onnx/backend/test/runner/__init__.py onnx/backend/test/data/node/test_atan/test_data_set_0/output_0.pb onnx/backend/test/case/node/max.py onnx/backend/test/case/base.py onnx/backend/test/data/node/test_acos/test_data_set_0/output_0.pb onnx/onnx_cpp2py_export/shape_inference.pyi onnx/backend/test/case/node/pool_op_common.py onnx/backend/test/report/coverage.py onnx/backend/test/case/node/rnn.py onnx/backend/test/stat_coverage.py onnx/backend/test/data/node/test_tanh/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_asinh/test_data_set_0/output_0.pb onnx/backend/test/case/node/resize.py onnx/backend/test/data/node/test_acosh/test_data_set_0/output_0.pb onnx/backend/test/case/node/sequence_map.py onnx/test/compose_test.py onnx/defs/gen_doc.py onnx/backend/sample/ops/__init__.py onnx/backend/test/data/node/test_reduce_log_sum_exp_negative_axes_keepdims_example/test_data_set_0/output_0.pb tools/protoc-gen-mypy.py onnx/hub.py onnx/backend/test/case/node/dft.py onnx/backend/test/case/node/hannwindow.py onnx/backend/test/case/node/spacetodepth.py onnx/backend/test/data/node/test_reduce_log_sum_exp_do_not_keepdims_example/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_rnn_seq_length/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_simple_rnn_batchwise/test_data_set_0/output_0.pb workflow_scripts/test_model_zoo.py onnx/backend/test/runner/item.py onnx/test/checker_test.py,813,867,fdd8902e80c5cc35bf92127939d5a1d6dfabe5e1,0,-7
fdd8902e80c5cc35bf92127939d5a1d6dfabe5e1,manbearian,"fix bf16 support (#4193)

Signed-off-by: Ian Bearman <ianb@microsoft.com>",2022-05-25 18:16:31,onnx/helper.py onnx/numpy_helper.py onnx/mapping.py onnx/test/helper_test.py,87,13,eb8479936c9940e75a84f4d30843700e4ad26263,0,-7
eb8479936c9940e75a84f4d30843700e4ad26263,jcwchen,"Use ONNX Runtime PyPI package instead of ort-nightly (#4219)

* Use ONNX Runtime PyPI package instead of ort-nightly

Signed-off-by: jcwchen <jacky82226@gmail.com>

* nit: use onnxruntime instead of ort-nightly in TODO

Signed-off-by: jcwchen <jacky82226@gmail.com>",2022-05-25 00:41:28,.github/workflows/release_mac.yml .github/workflows/release_win.yml docs/CIPipelines.md .github/workflows/release_linux_x86_64.yml .github/workflows/release_linux_aarch64.yml,17,21,a525f98d5ed31660b629bab90c680a39658a5c08,0,-7
a525f98d5ed31660b629bab90c680a39658a5c08,xuzijian629,"Apply clang-format (#4084)

* Run clang-format in CIs

Signed-off-by: Joe <joe@preferred.jp>

* Update docs for clang-format

Signed-off-by: Joe <joe@preferred.jp>

* Apply clang-format

Signed-off-by: Joe <joe@preferred.jp>",2022-05-24 17:07:08,onnx/common/graph_node_list.h onnx/test/cpp/shape_inference_test.cc onnx/version_converter/adapters/broadcast_backward_compatibility.h onnx/common/version.h onnx/onnxifi.h onnx/version_converter/adapters/remove_consumed_inputs.h onnx/common/constants.h onnx/defs/attr_proto_util.h onnx/version_converter/adapters/scatter_10_11.h onnx/defs/reduction/defs.cc onnx/version_converter/adapters/cast_9_8.h onnx/defs/logical/defs.cc onnx/defs/optional/defs.cc onnx/version_converter/adapters/softmax_12_13.h onnx/version_converter/convert.h onnx/defs/controlflow/defs.cc onnx/version_converter/adapters/upsample_8_9.h onnx/defs/sequence/defs.cc onnx/test/cpp/function_verify_test.cc onnx/cpp2py_export.cc onnx/version_converter/adapters/slice_9_10.h onnx/defs/printer.cc onnx/version_converter/adapters/split_13_12.h onnx/defs/tensor/defs.cc onnx/defs/tensor_proto_util.cc onnx/defs/traditionalml/defs.cc onnx/shape_inference/implementation.cc onnx/test/cpp/onnxifi_backend_test.cc onnx/version_converter/adapters/reshape_4_5.h onnx/version_converter/adapters/adapter.h onnx/version_converter/adapters/compatible.h onnx/common/assertions.h onnx/common/tensor.h onnx/defs/attr_proto_util.cc onnx/version_converter/BaseConverter.h onnx/defs/object_detection/defs.cc onnx/defs/operator_sets.h onnx/defs/shape_inference.h onnx/defs/schema.cc onnx/string_utils.h tools/protobuf-bench.cc onnx/version_converter/adapters/axes_input_to_attribute.h onnx/onnxifi_loader.h onnx/defs/tensor/utils.cc onnx/common/status.cc onnx/defs/generator/old.cc onnx/version_converter/adapters/transformers.h onnx/version_converter/adapters/upsample_6_7.h onnx/proto_utils.h onnx/defs/data_propagators.h onnx/version_converter/adapters/scan_9_8.h onnx/onnxifi_ext.h onnx/common/path.h onnx/defs/rnn/defs.cc onnx/defs/quantization/old.cc onnx/common/array_ref.h onnx/version_converter/adapters/reshape_5_4.h onnx/version_converter/adapters/gemm_7_6.h onnx/defs/rnn/old.cc onnx/checker.cc onnx/defs/tensor_proto_util.h onnx/test/cpp/test_main.cc .azure-pipelines/Linux-CI.yml onnx/defs/logical/old.cc onnx/common/model_helpers.h onnx/defs/training/defs.cc onnx/version_converter/adapters/broadcast_forward_compatibility.h onnx/version_converter/helper.h onnx/defs/object_detection/old.cc onnx/version_converter/helper.cc onnx/version_converter/adapters/resize_10_11.h onnx/version_converter/adapters/type_restriction.h onnx/defs/generator/defs.cc onnx/defs/operator_sets_ml.h onnx/defs/math/old.cc onnx/defs/shape_inference.cc onnx/defs/parser.h onnx/defs/data_type_utils.h tools/style.sh onnx/defs/tensor_util.h onnx/onnx-operators_pb.h onnx/version_converter/adapters/topk_9_10.h onnx/version_converter/adapters/upsample_9_10.h onnx/common/stl_backports.h onnx/onnx-data_pb.h onnx/version_converter/adapters/sum_8_7.h onnx/common/assertions.cc onnx/common/interned_strings.h onnx/defs/tensor_util.cc onnx/test/cpp/schema_registration_test.cc onnx/onnxifi_utils.cc onnx/version_converter/adapters/gemm_6_7.h onnx/defs/operator_sets_training.h onnx/defs/traditionalml/old.cc onnx/version_converter/adapters/dropout_11_12.h onnx/backend/test/cpp/driver_test.cc onnx/common/common.h onnx/version_converter/adapters/axes_attribute_to_input.h onnx/defs/quantization/defs.cc onnx/onnx_pb.h onnx/version_converter/adapters/maxpool_8_7.h onnx/defs/schema.h onnx/defs/function.h onnx/defs/parser.cc onnx/common/interned_strings.cc onnx/version_converter/adapters/scan_8_9.h onnx/defs/tensor/utils.h onnx/defs/reduction/old.cc onnx/common/ir_pb_converter.h onnx/defs/tensor/old.cc onnx/defs/operator_sets_preview.h onnx/version_converter/adapters/clip_10_11.h onnx/version_converter/adapters/upsample_9_8.h onnx/common/ir.h onnx/defs/controlflow/old.cc onnx/common/status.h onnx/defs/math/defs.cc onnx/shape_inference/implementation.h onnx/common/file_utils.h onnx/defs/nn/defs.cc onnx/common/platform_helpers.h onnx/common/ir_pb_converter.cc onnx/backend/test/cpp/driver/test_driver.h onnx/version_converter/convert.cc onnx/version_converter/adapters/split_12_13.h onnx/version_converter/adapters/no_previous_version.h onnx/defs/nn/old.cc onnx/version_converter/adapters/pad_10_11.h onnx/defs/data_type_utils.cc onnx/version_converter/adapters/extend_supported_types.h docs/CIPipelines.md onnx/common/model_helpers.cc onnx/version_converter/adapters/batch_normalization_13_14.h onnx/test/cpp/data_propagation_test.cc,5623,10807,28ed7f5dbf133f446e9249565a804e0c617bb0d9,0,9
28ed7f5dbf133f446e9249565a804e0c617bb0d9,smk2007,"Add signal operators (#3741)

Signed-off-by: Sheil Kumar <smk2007@gmail.com>",2022-05-23 18:33:36,onnx/backend/test/data/node/test_stft_with_window/test_data_set_0/input_1.pb onnx/backend/test/data/node/test_melweightmatrix/test_data_set_0/input_4.pb onnx/backend/test/data/node/test_dft/model.onnx onnx/backend/test/case/node/melweightmatrix.py onnx/backend/test/case/node/stft.py onnx/backend/test/data/node/test_stft_with_window/test_data_set_0/input_0.pb docs/Operators.md onnx/backend/test/data/node/test_stft/test_data_set_0/input_1.pb onnx/backend/test/data/node/test_hammingwindow/test_data_set_0/output_0.pb docs/TestCoverage.md onnx/backend/test/data/node/test_dft_inverse/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_hammingwindow_expanded/model.onnx onnx/backend/test/data/node/test_hannwindow_expanded/test_data_set_0/input_0.pb onnx/defs/operator_sets.h onnx/backend/test/data/node/test_stft_with_window/test_data_set_0/input_2.pb onnx/defs/shape_inference.h onnx/backend/test/data/node/test_melweightmatrix/test_data_set_0/input_2.pb onnx/backend/test/data/node/test_stft/model.onnx onnx/backend/test/data/node/test_hammingwindow/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_melweightmatrix/model.onnx onnx/backend/test/data/node/test_hammingwindow/model.onnx onnx/backend/test/data/node/test_dft_axis/test_data_set_0/output_0.pb .gitattributes onnx/backend/test/data/node/test_hammingwindow_expanded/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_dft_inverse/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_melweightmatrix/test_data_set_0/input_3.pb onnx/backend/test/data/node/test_dft_axis/model.onnx onnx/backend/test/data/node/test_hannwindow/model.onnx onnx/backend/test/data/node/test_blackmanwindow_expanded/model.onnx onnx/defs/math/defs.cc onnx/backend/test/data/node/test_dft_inverse/model.onnx onnx/backend/test/data/node/test_stft/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_stft_with_window/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_hannwindow/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_dft/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_stft/test_data_set_0/input_2.pb onnx/backend/test/data/node/test_blackmanwindow/model.onnx onnx/backend/test/data/node/test_hammingwindow_expanded/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_dft/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_hannwindow/test_data_set_0/output_0.pb onnx/test/automatic_upgrade_test.py onnx/backend/test/data/node/test_hannwindow_expanded/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_hannwindow_expanded/model.onnx onnx/backend/test/data/node/test_blackmanwindow_expanded/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_stft/test_data_set_0/output_0.pb onnx/backend/test/case/node/dft.py docs/Changelog.md onnx/backend/test/case/node/hannwindow.py onnx/backend/test/data/node/test_dft_axis/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_blackmanwindow/test_data_set_0/output_0.pb onnx/backend/test/case/node/hammingwindow.py onnx/backend/test/data/node/test_melweightmatrix/test_data_set_0/output_0.pb onnx/backend/test/data/node/test_blackmanwindow_expanded/test_data_set_0/input_0.pb onnx/backend/test/case/node/blackmanwindow.py onnx/backend/test/data/node/test_stft_with_window/model.onnx onnx/backend/test/data/node/test_blackmanwindow/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_melweightmatrix/test_data_set_0/input_0.pb onnx/backend/test/data/node/test_melweightmatrix/test_data_set_0/input_1.pb onnx/test/shape_inference_test.py,2347,3,566499ff4681bd74e14f07796a6a2c55703eca6a,0,-7
566499ff4681bd74e14f07796a6a2c55703eca6a,andife,"fix typos in sc-election-guidelines (#4164)

Signed-off-by: andife <fehlner@arcor.de>

Co-authored-by: Alexandre Eichenberger <alexe@us.ibm.com>",2022-05-23 14:29:21,community/sc-election-guidelines.md,5,5,be2fea86fb0dc0ca8d7b8063bd4bfcd0142f4f76,0,2
be2fea86fb0dc0ca8d7b8063bd4bfcd0142f4f76,jcwchen,"ignore input.pb check for test generation (#4213)

Signed-off-by: jcwchen <jacky82226@gmail.com>",2022-05-21 00:24:46,.azure-pipelines/MacOS-CI.yml .azure-pipelines/Windows-CI.yml .azure-pipelines/Linux-CI.yml,3,3,55049b48d242024cf9d75213d966c237f3cb78a7,0,-7
55049b48d242024cf9d75213d966c237f3cb78a7,jcwchen,"Remove deprecated codes and temporary announce (#4168)

* remove deprecated/temp things

Signed-off-by: Chun-Wei Chen <jacky82226@gmail.com>

* remove unused warning

Signed-off-by: Chun-Wei Chen <jacky82226@gmail.com>",2022-05-20 20:11:46,README.md onnx/helper.py,0,17,a4947b1546d538b3c354e61b6eefd49989b5f8cf,0,-7
a4947b1546d538b3c354e61b6eefd49989b5f8cf,jcwchen,"Add missing opset 17 in RegisterOnnxOperatorSetSchem (#4204)

Signed-off-by: jcwchen <jacky82226@gmail.com>",2022-05-20 19:04:12,onnx/defs/operator_sets.h,1,0,acaa175e7dd48a4dfdc64f0fd3af7d2461f0b304,0,-7
