Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
houseroad,2017-09-12 04:35:15,Commit 72dbfc698234b2aa0754b39fd2597e8a1d70aad8,2020-05-29 02:08:58,Reviewed PR 2803,990,-7,16,151,1595,0.15252525252525254,123,0.12424242424242424,28,0.028282828282828285,25698,25.957575757575757,170.18543046357615,39,333,0,39,0.03939393939393939,0.0,0.0,137,129,505,751,642,0.6484848484848484,0.9416058394160584,0.0009511170095111701,172,54,5,pb_1164 onnx_551 py_136 md_116 h_112 cc_103 json_22 ipynb_11 cpp_8 proto_7 sh_6 proto3_3 gitignore_2 txt_1
jcwchen,2019-09-18 16:13:56,Reviewed PR 2332,2022-04-30 00:00:00,pr comment,955,-7,14,130,402,0.13612565445026178,94,0.09842931937172775,36,0.03769633507853403,9144,9.574869109947644,70.33846153846154,15,494,1,16,0.016753926701570682,0.0020242914979757085,2.1196769612311083e-06,193,153,140,1659,333,0.3486910994764398,0.7927461139896373,0.0008301006429210862,92,35,4,pb_200 yml_127 py_86 md_81 cc_72 onnx_53 sh_32 h_32 txt_13 proto_5 VERSION_NUMBER_4 ipynb_3 proto3_3 pyi_3 cfg_2 in_2 CODEOWNERS_1 ps1_1 toml_1 cmake_1 yaml_1 pybind11_1
linkerzhang,2017-10-11 00:00:00,issue comment,2022-01-08 06:27:23,Reviewed PR 3927,1551,-7,16,112,146,0.07221147646679561,93,0.059961315280464215,19,0.012250161186331399,49738,32.06834300451322,444.0892857142857,19,245,0,19,0.012250161186331399,0.0,0.0,105,82,364,644,469,0.30238555770470665,0.780952380952381,0.0005035153971324184,63,47,4,cc_203 md_99 h_79 py_67 proto_46 proto3_31 pb_30 onnx_9 ipynb_4 VERSION_NUMBER_4 txt_4 sh_4 yml_2 gitignore_2 in_1 cfg_1 clang-format_1 yaml_1
gramalingam,2017-09-20 20:20:43,Commit 10b9cf854c9b677152a3e1779620d5f65b82fce0,2022-04-30 00:00:00,pr comment,1683,-7,13,70,224,0.041592394533571005,58,0.0344622697563874,12,0.0071301247771836,14430,8.57397504456328,206.14285714285714,10,140,0,10,0.0059417706476530005,0.0,0.0,76,72,433,603,509,0.3024361259655377,0.9473684210526315,0.0005629045876723895,11,39,3,cc_95 pb_88 h_56 md_54 py_49 onnx_42 proto_15 proto3_9 pyi_4 ipynb_2 pybind11_1
yuanbyu,2017-09-09 00:00:00,issue comment,2019-02-13 19:00:41,Reviewed PR 1812,523,-8,13,52,58,0.0994263862332696,43,0.08221797323135756,9,0.017208413001912046,19645,37.56214149139579,377.78846153846155,0,17,0,0,0.0,0.0,0.0,9,7,23,46,32,0.06118546845124283,0.7777777777777778,0.0014871468026343743,35,11,4,cc_71 py_45 md_26 h_11 proto_10 proto3_4 gitignore_2 sh_2 ipynb_2 yml_1 clang-format_1 cfg_1 VERSION_NUMBER_1 yaml_1
prasanthpul,2017-09-08 00:00:00,pr comment,2022-04-06 00:00:00,pr comment,1672,-7,11,52,69,0.03110047846889952,9,0.005382775119617225,43,0.025717703349282296,1103,0.659688995215311,21.21153846153846,6,399,1,7,0.004186602870813397,0.002506265664160401,1.4989627177992829e-06,51,48,67,504,118,0.07057416267942583,0.9411764705882353,0.0005629045876723895,67,23,3,md_49 cc_32 h_12 proto_7 proto3_4 py_3 CODEOWNERS_2 LICENSE_2 gitattributes_1 yml_1
askhade,2019-03-11 00:00:00,pr comment,2022-04-19 18:55:32,Reviewed PR 4150,1136,-7,13,48,210,0.04225352112676056,41,0.03609154929577465,7,0.006161971830985915,11199,9.858274647887324,233.3125,13,389,0,13,0.011443661971830986,0.0,0.0,61,51,289,414,350,0.30809859154929575,0.8360655737704918,0.0007359732163472639,24,48,4,pb_90 cc_78 md_47 onnx_31 h_30 py_30 yml_23 proto_12 proto3_8 cmake_5 sh_4 txt_4 pyi_3 clang-format_1 ipynb_1
smessmer,2018-02-06 21:14:29,Raise PR 513,2018-07-27 00:00:00,pr comment,171,-7,20,42,225,0.24561403508771928,36,0.21052631578947367,6,0.03508771929824561,11936,69.80116959064327,284.1904761904762,0,4,0,0,0.0,0.0,0.0,52,42,10,67,62,0.36257309941520466,0.8076923076923077,0.004723346828609987,58,16,4,py_314 pyi_55 h_17 pb_12 md_11 sh_6 cfg_5 cc_5 txt_4 gitignore_3 gitkeep_2 bat_1 yml_1 toml_1 onnx_1
ezyang,2017-09-07 07:46:33,Raise PR 1,2019-08-10 00:00:00,issue comment,702,-4,12,40,55,0.05698005698005698,31,0.04415954415954416,9,0.01282051282051282,16653,23.72222222222222,416.325,36,106,0,36,0.05128205128205128,0.0,0.0,28,24,46,121,74,0.10541310541310542,0.8571428571428571,0.001221001221001221,1786,24,4,py_86 cc_21 proto_19 md_17 proto3_14 h_12 in_7 sh_4 gitignore_3 yaml_3 ipynb_2 VERSION_NUMBER_1
anderspapitto,2017-11-27 05:37:53,Reviewed PR 319,2019-01-07 20:02:45,Reviewed PR 1719,407,-7,13,40,53,0.09828009828009827,32,0.07862407862407862,8,0.019656019656019656,4816,11.832923832923832,120.4,9,24,0,9,0.022113022113022112,0.0,0.0,50,41,50,158,100,0.2457002457002457,0.82,0.002014742014742015,129,19,4,h_32 cc_29 py_28 sh_19 md_12 onnx_6 txt_5 yml_5 travis/common_3 pyi_1 gitignore_1 cmake_1
Maratyszcza,2018-02-08 00:00:00,pr comment,2019-02-15 00:00:00,pr comment,373,-7,10,32,16,0.08579088471849866,30,0.08042895442359249,2,0.005361930294906166,4111,11.021447721179625,128.46875,0,4,1,1,0.002680965147453083,0.25,0.0006702412868632708,37,33,25,71,62,0.16621983914209115,0.8918918918918919,0.0023911310774581552,610,25,4,h_28 c_6 txt_5 cc_4 proto_2 md_2 proto3_1 py_1 benchmark_1 gitmodules_1
zrphercule,2018-05-30 00:00:00,pr comment,2019-09-27 00:00:00,pr comment,486,-7,14,32,101,0.06584362139917696,29,0.059670781893004114,3,0.006172839506172839,4454,9.164609053497943,139.1875,1,14,0,1,0.00205761316872428,0.0,0.0,41,32,44,104,85,0.1748971193415638,0.7804878048780488,0.0016059419853457794,116,28,5,pb_52 cc_36 h_22 onnx_21 md_16 py_13 cmake_9 c_5 txt_5 sh_3
wschin,2017-10-21 00:41:06,Raise Issue 133,2022-04-28 17:35:45,Commit 8dd0473f9b17444c214a6027273c55a94b2045c7,1651,-7,17,28,470,0.016959418534221685,26,0.015748031496062992,2,0.0012113870381586917,10979,6.6499091459721384,392.10714285714283,14,65,0,14,0.008479709267110842,0.0,0.0,33,30,128,225,161,0.09751665657177468,0.9090909090909091,0.0005506304718903143,49,31,4,pb_344 onnx_70 md_50 cc_35 py_33 h_29 proto_12 proto3_8 sh_2 yml_2 gitattributes_1 pyi_1 bat_1 ipynb_1
fumihwh,2018-02-22 00:00:00,pr comment,2020-10-06 00:00:00,pr comment,958,9,3,28,201,0.029227557411273485,26,0.027139874739039668,2,0.0020876826722338203,5704,5.954070981210856,203.71428571428572,15,39,1,16,0.016701461377870562,0.02564102564102564,2.676516246453616e-05,32,28,4,52,36,0.037578288100208766,0.875,0.0009133611691022964,25,27,3,pb_136 py_30 md_27 onnx_24 cc_17 h_14
daquexian,2018-07-22 00:00:00,pr comment,2022-03-23 17:43:33,Commit 7eb3e71dc97009d598fc4f6e23cd7511151c56bc,1341,8,6,26,278,0.019388516032811335,22,0.01640566741237882,4,0.002982848620432513,10897,8.126025354213274,419.11538461538464,8,40,2,10,0.007457121551081283,0.05,3.728560775540641e-05,28,26,2,89,30,0.02237136465324385,0.9285714285714286,0.0006924470011718334,921,26,4,pb_199 onnx_86 h_37 md_26 cc_23 py_19 ipynb_1 pyi_1 bat_1 in_1 gitignore_1 sh_1 txt_1
