,project,name,join date,last active,timezone,worktime,duration,followers,total commits,collaborations,authored files,languages,commit rate,code commits,code commit rate,non code commits,non code commit rate,code contribution,code contribution rate,code contribution density,total issues,issue participated,issue comments received,issue solved,issue solving ratio,issue solving rate,issue contribution,issue contribution rate,total pull requests,pr participated,pr reviewed,pr merged,pr approval ratio,pr comments received,pr contribution,pr contribution rate
0,onnx,jcwchen,2020-04-25 00:24:29,2023-11-14 04:15:04,-7,9,1299,156,268,254,981,4,0.2063125481139338,158,0.1216320246343341,110,0.0846805234795996,26840,20.662047729022326,100.14925373134328,44,760,1.6590909090909092,10,0.0131578947368421,0.0076982294072363,54,0.0415704387990762,345,1916,518,292,0.8463768115942029,5.0,863,0.6643571978444958
1,onnx,bddppq,2017-09-07 04:47:53,2020-03-26 22:06:15,-7,13,932,301,210,97,618,4,0.2253218884120171,159,0.1706008583690987,51,0.0547210300429184,22902,24.57296137339056,109.05714285714286,0,190,0.0,0,0.0,0.0,0,0.0,150,521,372,140,0.9333333333333333,2.973333333333333,522,0.5600858369098712
2,onnx,houseroad,2017-09-12 04:35:15,2022-07-18 04:12:46,-7,16,1770,190,151,128,1595,3,0.0853107344632768,116,0.0655367231638418,35,0.019774011299435,25698,14.51864406779661,170.18543046357615,40,297,2.75,0,0.0,0.0,40,0.0225988700564971,137,624,511,129,0.9416058394160584,3.656934306569343,648,0.36610169491525424
3,onnx,gramalingam,2017-09-20 20:20:43,2023-12-19 19:36:30,-7,13,2281,25,112,162,290,2,0.0491012713722051,89,0.0390179745725558,23,0.0100832967996492,21582,9.461639631740464,192.69642857142856,14,227,2.2857142857142856,1,0.0044052863436123,0.0004384042086804,15,0.006576063130206,119,925,781,113,0.9495798319327731,5.663865546218488,900,0.394563787812363
4,onnx,linkerzhang,2017-10-11 00:50:04,2023-06-05 01:06:27,-7,16,2064,77,112,141,146,3,0.0542635658914728,89,0.0431201550387596,23,0.0111434108527131,49738,24.097868217054263,444.0892857142857,20,237,5.9,0,0.0,0.0,20,0.0096899224806201,106,567,379,82,0.7735849056603774,7.933962264150943,485,0.23498062015503876
5,onnx,justinchuby,2022-05-20 04:40:14,2023-12-30 16:32:54,-7,15,590,116,90,76,852,3,0.1525423728813559,60,0.1016949152542373,30,0.0508474576271186,90085,152.6864406779661,1000.9444444444443,70,174,2.128571428571429,16,0.0919540229885057,0.0271186440677966,86,0.1457627118644067,102,308,160,89,0.8725490196078431,7.0,262,0.4440677966101695
6,onnx,xadupre,2018-11-29 16:20:29,2023-12-22 14:57:02,1,19,1849,155,64,76,960,2,0.0346133044889129,56,0.0302866414277988,8,0.0043266630611141,44984,24.32882639264467,702.875,8,76,2.875,2,0.0263157894736842,0.0010816657652785,10,0.0054083288263926,79,219,173,65,0.8227848101265823,13.455696202531646,252,0.13628988642509465
7,onnx,prasanthpul,2017-09-08 19:06:20,2023-08-29 03:50:46,-7,11,2181,80,59,126,78,2,0.0270518110958276,9,0.0041265474552957,50,0.0229252636405318,1177,0.5396607060981201,19.94915254237288,7,404,4.714285714285714,1,0.0024752475247524,0.0004585052728106,8,0.003668042182485,60,492,80,55,0.9166666666666666,0.8833333333333333,140,0.06419073819348922
8,onnx,yuanbyu,2017-09-09 04:59:19,2018-09-26 19:07:15,-8,13,383,36,52,24,58,3,0.1357702349869451,43,0.1122715404699739,9,0.0234986945169712,19645,51.29242819843342,377.7884615384616,0,17,0.0,0,0.0,0.0,0,0.0,9,38,23,7,0.7777777777777778,19.555555555555557,32,0.0835509138381201
9,onnx,askhade,2019-03-11 18:02:41,2023-02-14 17:27:36,-7,13,1436,27,48,105,210,3,0.0334261838440111,40,0.0278551532033426,8,0.0055710306406685,11199,7.798746518105849,233.3125,15,400,4.4,0,0.0,0.0,15,0.0104456824512534,65,394,294,51,0.7846153846153846,5.046153846153846,359,0.25
10,onnx,liqunfu,2018-03-19 17:21:20,2023-12-28 02:38:30,-7,14,2110,33,45,68,1120,2,0.0213270142180094,40,0.0189573459715639,5,0.0023696682464454,20122,9.53649289099526,447.1555555555556,13,37,2.3846153846153846,1,0.027027027027027,0.000473933649289,14,0.0066350710900473,86,165,92,60,0.6976744186046512,9.55813953488372,178,0.08436018957345971
11,onnx,smessmer,2018-02-06 21:14:29,2018-07-27 00:30:53,-7,20,171,65,42,18,225,3,0.2456140350877192,34,0.1988304093567251,8,0.0467836257309941,11936,69.80116959064327,284.1904761904762,0,4,0.0,0,0.0,0.0,0,0.0,52,15,10,42,0.8076923076923077,4.134615384615385,62,0.36257309941520466
