,Label,Description
0,actionable,
1,activation-checkpointing,Related to activation checkpointing and its interaction with torch.compile
2,advanced,Label for advanced docathon tasks
3,awaiting response (this tag is deprecated),This tag is deprecated while we figure out what to do with it
4,base pinned,"The base branch for this pull request has been pinned to a specific commit, for determinism in CI."
5,better-engineering,Relatively self-contained tasks for better engineering contributors
6,better-on-discuss-forum,
7,bug,
8,caffe2,
9,caffe2-op,
10,cherry-picked,This PR was cherry-picked onto a release branch from master
11,ci-no-td,Do not run TD on this PR
12,ci-no-test-timeout,"Don't set timeouts for test running, caution: cannot be set in main"
13,ci-scribe,Enable logging to Scribe on the CI job
14,ci-td-distributed,
15,ci-test-showlocals,Show local variables on test failures
16,ci-verbose-test-logs,"Print test logs as tests happen, caution: results in interleaved and very long logs"
17,ci: sev,critical failure affecting PyTorch CI
18,ci: sev-infra.autoscale,labels a Ci Sev that is caused by infra - affecting runner autoscale mechanism
19,ci: sev-infra.os,"labels a Ci Sev that is caused by infra - Source of the issue is the OS, misconfiguration, packages."
20,ci: sev-infra.pet,labels a Ci Sev that is caused by infra - Affecting pet instances.
21,ci: sev-infra.thirdparty,labels a Ci Sev that is caused by infra - trigger of the issue is a thirdparty
22,ci: sev-mitigated,"This label marks a sev as mitigated and suppress ""ci: sev"""
23,ciflow/android,Trigger android build and test (run_android_test.yml)
24,ciflow/binaries,Trigger all binary build and upload jobs on the PR
25,ciflow/binaries_conda,Trigger binary build and upload jobs for conda on the PR
26,ciflow/binaries_libtorch,Trigger binary build and upload jobs for libtorch on the PR
27,ciflow/binaries_wheel,Trigger binary build and upload jobs for wheel on the PR
28,ciflow/inductor,
29,ciflow/inductor-cu124,
30,ciflow/inductor-micro-benchmark,
31,ciflow/inductor-perf-compare,
32,ciflow/inductor-perf-test-nightly,Trigger nightly inductor perf tests
33,ciflow/inductor-rocm,Trigger inductor CI on ROCm
34,ciflow/linux-aarch64,linux aarch64 CI workflow
35,ciflow/mps,Run MPS tests (subset of trunk)
36,ciflow/nightly,Trigger all jobs we run nightly (nightly.yml)
37,ciflow/periodic,Trigger jobs ran periodically on master (periodic.yml) on the PR
