,project,name,join date,last active,timezone,worktime,duration,followers,total commits,collaborations,authored files,languages,commit rate,code commits,code commit rate,non code commits,non code commit rate,code contribution,code contribution rate,code contribution density,total issues,issue participated,issue comments received,issue solved,issue solving ratio,issue solving rate,issue contribution,issue contribution rate,total pull requests,pr participated,pr reviewed,pr merged,pr approval ratio,pr comments received,pr contribution,pr contribution rate
0,scikit-learn,ogrisel,2010-03-03 13:46:28,2023-12-14 17:46:54,2,10,5035,4713,2468,935,1743,5,0.4901688182720953,1916,0.3805362462760675,552,0.1096325719960278,1028216,204.2137040714995,416.6191247974068,196,1479,7.5,61,0.0412440838404327,0.0121151936444885,257,0.0510427010923535,457,4358,1828,383,0.838074398249453,8.691466083150985,2285,0.4538232373386296
1,scikit-learn,amueller,2011-04-16 12:44:36,2023-12-18 16:53:54,1,14,4630,10659,2052,1041,1051,5,0.4431965442764579,1656,0.3576673866090712,396,0.0855291576673866,552124,119.24924406047516,269.0662768031189,844,2509,7.502369668246446,115,0.0458349940215225,0.0248380129589632,959,0.2071274298056155,567,3804,748,425,0.7495590828924162,13.814814814814815,1315,0.2840172786177106
2,scikit-learn,GaelVaroquaux,2010-01-08 08:35:18,2023-12-13 07:38:41,2,17,5087,3122,1778,535,1436,5,0.3495183801847847,1417,0.2785531747591901,361,0.0709652054255946,996635,195.9180263416552,560.537120359955,50,1080,9.4,53,0.049074074074074,0.0104187143699626,103,0.0202476901906821,100,2039,181,61,0.61,13.3,281,0.05523884411244348
3,scikit-learn,larsmans,2011-04-28 13:42:52,2016-03-04 09:41:12,2,17,1772,283,1262,230,993,5,0.7121896162528216,1059,0.5976297968397292,203,0.1145598194130925,625613,353.05474040632055,495.73137876386687,53,501,6.584905660377358,87,0.1736526946107784,0.0490970654627539,140,0.0790067720090293,139,789,0,68,0.4892086330935252,16.237410071942445,139,0.07844243792325056
4,scikit-learn,agramfort,2010-03-02 15:01:46,2023-11-11 14:04:37,2,15,5002,1289,1085,616,996,5,0.2169132347061175,957,0.1913234706117553,128,0.0255897640943622,280226,56.02279088364654,258.27281105990784,12,797,6.75,53,0.0664993726474278,0.0105957616953218,65,0.0129948020791683,80,2082,351,56,0.7,15.95,431,0.08616553378648541
5,scikit-learn,glouppe,2011-07-19 09:33:00,2019-10-14 17:58:54,2,11,3010,1139,936,166,790,5,0.3109634551495017,799,0.2654485049833887,137,0.0455149501661129,881036,292.7029900332226,941.2777777777778,20,277,6.1,37,0.1335740072202166,0.0122923588039867,57,0.0189368770764119,63,476,2,54,0.8571428571428571,21.88888888888889,65,0.02159468438538206
6,scikit-learn,thomasjpfan,2018-06-03 02:32:45,2023-12-28 19:05:45,-4,4,2035,576,890,1019,1339,4,0.4373464373464373,705,0.3464373464373464,185,0.0909090909090909,209071,102.73759213759212,234.91123595505616,84,1286,10.297619047619047,4,0.0031104199066874,0.0019656019656019,88,0.0432432432432432,989,3489,2542,896,0.9059656218402427,8.718907987866531,3531,1.7351351351351352
7,scikit-learn,pprett,2010-10-18 22:00:25,2017-05-17 21:32:10,1,20,2403,330,860,81,987,5,0.3578859758635039,762,0.317103620474407,98,0.0407823553890969,1028977,428.20516021639617,1196.4848837209302,20,125,8.9,10,0.08,0.0041614648356221,30,0.0124843945068664,49,201,0,37,0.7551020408163265,22.6734693877551,49,0.02039117769454848
8,scikit-learn,mblondel,2010-09-14 11:03:49,2021-04-14 10:39:55,9,17,3865,2478,779,190,723,4,0.2015523932729624,675,0.1746442432082794,104,0.026908150064683,290993,75.28926261319535,373.5468549422336,101,224,10.277227722772276,15,0.0669642857142857,0.0038809831824062,116,0.030012936610608,37,601,1,19,0.5135135135135135,22.7027027027027,38,0.00983182406209573
9,scikit-learn,vene,2010-11-30 16:16:48,2022-02-09 09:27:51,3,16,4089,350,775,143,900,5,0.1895328931279041,695,0.1699682073856688,80,0.0195646857422352,410125,100.29958425042798,529.1935483870968,13,134,13.384615384615383,9,0.0671641791044776,0.0022010271460014,22,0.0053802885791146,54,349,33,26,0.48148148148148145,21.37037037037037,87,0.02127659574468085
10,scikit-learn,jnothman,2013-03-10 21:12:07,2023-12-30 13:07:01,10,23,3947,484,773,1155,719,4,0.1958449455282493,548,0.1388396250316696,225,0.0570053204965796,191392,48.49049911325057,247.59637774902976,321,2977,8.255451713395638,22,0.007389989922741,0.0055738535596655,343,0.0869014441347859,383,4404,2242,273,0.7127937336814621,13.66840731070496,2625,0.6650620724600963
11,scikit-learn,arjoly,2012-10-31 12:22:16,2017-04-13 16:17:07,2,16,1626,99,580,152,184,3,0.3567035670356703,485,0.2982779827798278,95,0.0584255842558425,438542,269.7060270602706,756.1068965517242,45,237,7.177777777777778,6,0.0253164556962025,0.003690036900369,51,0.0313653136531365,94,465,0,54,0.574468085106383,25.54255319148936,94,0.05781057810578106
12,scikit-learn,glemaitre,2016-01-18 16:01:15,2023-12-27 18:02:39,2,11,2901,742,552,1227,779,5,0.1902792140641158,472,0.1627025163736642,80,0.0275766976904515,74385,25.641158221303,134.7554347826087,176,1594,6.943181818181818,6,0.0037641154328732,0.0020682523267838,182,0.0627369872457773,625,4654,2059,541,0.8656,12.8384,2684,0.9251982075146501
13,scikit-learn,lesteve,2014-07-16 16:26:41,2023-12-21 09:49:37,2,10,3445,166,375,505,507,5,0.1088534107402031,287,0.0833091436865021,88,0.025544267053701,31006,9.000290275761975,82.68266666666666,60,852,6.45,3,0.0035211267605633,0.0008708272859216,63,0.0182873730043541,309,1267,337,277,0.8964401294498382,6.239482200647249,646,0.18751814223512336
14,scikit-learn,jaquesgrobler,2012-01-27 14:24:36,2019-09-10 06:11:48,2,14,2783,93,362,80,926,5,0.1300754581386992,191,0.0686309737693137,171,0.0614444843693855,841753,302.4624505928854,2325.28453038674,23,110,5.217391304347826,0,0.0,0.0,23,0.0082644628099173,75,157,1,54,0.72,12.906666666666666,76,0.027308659719726913
