,Issue#,Title,Owner,Description,Labels,Assignees,Opened time,Closed time,Events,Participants,Number of Comments
0,42,Fix/remove confusing __iter__ implementation in theano.tensor.var.TensorVariable,ghost,"I'm trying to translate [Statistical Rethinking](http://xcelab.net/rm/statistical-rethinking/) from R and RStan to Python and PyMC3.

On page 304, there's a simple logistic regression example. Data being used (publicly available):

```
	dept	applicant.gender	admit	reject	applications	is_male
1	A	male	512	313	825	1
2	A	female	89	19	108	0
3	B	male	353	207	560	1
4	B	female	17	8	25	0
5	C	male	120	205	325	1
6	C	female	202	391	593	0
7	D	male	138	279	417	1
8	D	female	131	244	375	0
9	E	male	53	138	191	1
10	E	female	94	299	393	0
11	F	male	22	351	373	1
12	F	female	24	317	341	0
```

Data is stored in a pandas DataFrame object. When I try and fit the model using:

```
with pm.Model() as m106:
    
    alpha = pm.Normal('alpha', 0, 10)
    beta_m = pm.Normal('beta_m', 0, 10)
    
    lin = alpha + beta_m * data['is_male']
    p = np.exp(lin) / (1 + np.exp(lin))
    
    admit = pm.Binomial('admit', n=data['applications'], p=p, observed=data['admit'])
    
    m106_map = pm.find_MAP()
    m106_traces = pm.sample(1000, start=m106_map)
```

I get the following error (which seems similar to pymc-devs/pymc3#918): 

```
---------------------------------------------------------------------------
KeyError                                  Traceback (most recent call last)
/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/type.py in dtype_specs(self)
    266                 'complex64': (complex, 'theano_complex64', 'NPY_COMPLEX64')
--> 267             }[self.dtype]
    268         except KeyError:

KeyError: 'object'

During handling of the above exception, another exception occurred:

TypeError                                 Traceback (most recent call last)
/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/basic.py in constant_or_value(x, rtype, name, ndim, dtype)
    407             rval = rtype(
--> 408                 TensorType(dtype=x_.dtype, broadcastable=bcastable),
    409                 x_.copy(),

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/type.py in __init__(self, dtype, broadcastable, name, sparse_grad)
     49         self.broadcastable = tuple(bool(b) for b in broadcastable)
---> 50         self.dtype_specs()  # error checking is done there
     51         self.name = name

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/type.py in dtype_specs(self)
    269             raise TypeError(""Unsupported dtype for %s: %s""
--> 270                             % (self.__class__.__name__, self.dtype))
    271 

TypeError: Unsupported dtype for TensorType: object

During handling of the above exception, another exception occurred:

TypeError                                 Traceback (most recent call last)
/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/basic.py in as_tensor_variable(x, name, ndim)
    201     try:
--> 202         return constant(x, name=name, ndim=ndim)
    203     except TypeError:

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/basic.py in constant(x, name, ndim, dtype)
    421     ret = constant_or_value(x, rtype=TensorConstant, name=name, ndim=ndim,
--> 422                             dtype=dtype)
    423 

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/basic.py in constant_or_value(x, rtype, name, ndim, dtype)
    416     except Exception:
--> 417         raise TypeError(""Could not convert %s to TensorType"" % x, type(x))
    418 

TypeError: ('Could not convert 1     Elemwise{mul,no_inplace}.0\\n2     Elemwise{mul,no_inplace}.0\\n3     Elemwise{mul,no_inplace}.0\\n4     Elemwise{mul,no_inplace}.0\\n5     Elemwise{mul,no_inplace}.0\\n6     Elemwise{mul,no_inplace}.0\\n7     Elemwise{mul,no_inplace}.0\\n8     Elemwise{mul,no_inplace}.0\\n9     Elemwise{mul,no_inplace}.0\\n10    Elemwise{mul,no_inplace}.0\\n11    Elemwise{mul,no_inplace}.0\\n12    Elemwise{mul,no_inplace}.0\\nName: applications, dtype: object to TensorType', <class 'pandas.core.series.Series'>)

During handling of the above exception, another exception occurred:

AsTensorError                             Traceback (most recent call last)
<ipython-input-144-fb615dfa2e93> in <module>()
      7     p = np.exp(lin) / (1 + np.exp(lin))
      8 
----> 9     admit = pm.Binomial('admit', n=data['applications'], p=p, observed=data['admit'])
     10 
     11     m106_map = pm.find_MAP()

/Users/horatiu/anaconda/lib/python3.5/site-packages/pymc3/distributions/distribution.py in __new__(cls, name, *args, **kwargs)
     24         if isinstance(name, string_types):
     25             data = kwargs.pop('observed', None)
---> 26             dist = cls.dist(*args, **kwargs)
     27             return model.Var(name, dist, data)
     28         elif name is None:

/Users/horatiu/anaconda/lib/python3.5/site-packages/pymc3/distributions/distribution.py in dist(cls, *args, **kwargs)
     37     def dist(cls, *args, **kwargs):
     38         dist = object.__new__(cls)
---> 39         dist.__init__(*args, **kwargs)
     40         return dist
     41 

/Users/horatiu/anaconda/lib/python3.5/site-packages/pymc3/distributions/discrete.py in __init__(self, n, p, *args, **kwargs)
     43         self.n = n
     44         self.p = p
---> 45         self.mode = tt.cast(tt.round(n * p), self.dtype)
     46 
     47     def random(self, point=None, size=None, repeat=None):

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/basic.py in round(a, mode)
   2052     """"""round_mode(a) with mode in [half_away_from_zero, half_to_even]""""""
   2053     if mode == ""half_away_from_zero"":
-> 2054         return round_half_away_from_zero(a)
   2055     elif mode == ""half_to_even"":
   2056         return round_half_to_even(a)

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/gof/op.py in __call__(self, *inputs, **kwargs)
    609         """"""
    610         return_list = kwargs.pop('return_list', False)
--> 611         node = self.make_node(*inputs, **kwargs)
    612 
    613         if config.compute_test_value != 'off':

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/elemwise.py in make_node(self, *inputs)
    541         using DimShuffle.
    542         """"""
--> 543         inputs = list(map(as_tensor_variable, inputs))
    544         shadow = self.scalar_op.make_node(
    545             *[get_scalar_type(dtype=i.type.dtype).make_variable()

/Users/horatiu/anaconda/lib/python3.5/site-packages/theano/tensor/basic.py in as_tensor_variable(x, name, ndim)
    206         except Exception:
    207             str_x = repr(x)
--> 208         raise AsTensorError(""Cannot convert %s to TensorType"" % str_x, type(x))
    209 
    210 # this has a different name, because _as_tensor_variable is the

AsTensorError: ('Cannot convert 1     Elemwise{mul,no_inplace}.0\\n2     Elemwise{mul,no_inplace}.0\\n3     Elemwise{mul,no_inplace}.0\\n4     Elemwise{mul,no_inplace}.0\\n5     Elemwise{mul,no_inplace}.0\\n6     Elemwise{mul,no_inplace}.0\\n7     Elemwise{mul,no_inplace}.0\\n8     Elemwise{mul,no_inplace}.0\\n9     Elemwise{mul,no_inplace}.0\\n10    Elemwise{mul,no_inplace}.0\\n11    Elemwise{mul,no_inplace}.0\\n12    Elemwise{mul,no_inplace}.0\\nName: applications, dtype: object to TensorType', <class 'pandas.core.series.Series'>)
```
The error is not very informative, and doesn't seem to point to my code. 
But when using:

```
with pm.Model() as m106:
    
    alpha = pm.Normal('alpha', 0, 10)
    beta_m = pm.Normal('beta_m', 0, 10)
    
    lin = alpha + beta_m * data['is_male']
    p = np.exp(lin) / (1 + np.exp(lin))
    
    admit = pm.Binomial('admit', n=data['applications'].values, p=p, observed=data['admit'])
    
    m106_map = pm.find_MAP()
    m106_traces = pm.sample(1000, start=m106_map)
```

So explicitly passing in the numpy array rather than the pandas Series:

```
admit = pm.Binomial('admit', n=data['applications'].values, p=p, observed=data['admit'])
```

Everything works as expected. I'm just trying to figure out why that is? Is there a reference in the documentation for this behavior? What is the lesson I should take away from this? :)

Using pandas 0.19, numpy 1.11, pymc3.0rc2
",bug,,2016-11-01 11:34:47,2021-05-19 22:51:05,"Horatiu mentioned 2016-11-01 12:30:06,Horatiu subscribed 2016-11-01 12:30:06,springcoil mentioned 2016-11-01 12:32:58,springcoil subscribed 2016-11-01 12:32:58,aloctavodia closed 2018-01-13 14:08:17,twiecki reopened 2020-08-17 08:05:28,brandonwillard mentioned 2020-08-17 08:05:54,brandonwillard subscribed 2020-08-17 08:05:54,brandonwillard mentioned 2020-08-17 13:18:59,brandonwillard subscribed 2020-08-17 13:18:59,brandonwillard mentioned 2020-08-17 14:05:20,brandonwillard subscribed 2020-08-17 14:05:20,canyon289 transferred 2020-09-18 14:14:37,brandonwillard renamed 2020-11-02 04:44:56,brandonwillard labeled 2020-11-02 04:45:09,brandonwillard milestoned 2020-11-02 04:45:12,michaelosthege demilestoned 2020-12-15 19:10:05,michaelosthege milestoned 2020-12-15 19:10:05,brandonwillard closed 2021-05-19 22:51:05,brandonwillard marked_as_duplicate 2021-05-19 23:05:23",tolex3 springcoil Horatiu brandonwillard aloctavodia ghost canyon289 michaelosthege twiecki,18
1,1,Fix links to repo,canyon289,Various links in README's point to the original repo. Change them over to this repo,good first issue help wanted,,2020-02-07 15:19:37,2020-10-31 13:06:37,"brandonwillard labeled 2020-07-08 14:43:14,brandonwillard labeled 2020-09-28 05:17:47,brandonwillard labeled 2020-09-28 05:17:47,brandonwillard milestoned 2020-09-29 16:24:50,eigenfoo closed 2020-10-31 13:06:37",canyon289 eigenfoo brandonwillard,1
5,5,Update automatic formatting and linting,brandonwillard,We should set this up to work like our other projects (e.g. use `black` and similar linting options/checks).,,,2020-03-18 19:41:39,2020-07-08 14:32:04,"brandonwillard connected 2020-07-06 16:20:38,brandonwillard closed 2020-07-08 14:32:04,brandonwillard referenced 2020-07-08 14:32:13",brandonwillard,0
6,6,Refactor Travis Build Script,brandonwillard,"It looks like some/all [Travis build failures](https://travis-ci.org/github/pymc-devs/Theano-PyMC/jobs/664091602#L692) are due to dependency issues involving old versions of Python (e.g. 2.7, 3.4).  We should probably remove all tests involving Python <= 3.5 and cover 3.6-8 instead.

Additionally, the `.travis.yml` is unnecessarily complex/redundant and has confusing, unexplained combinations of versions, settings, and tests (e.g. why are we only sometimes performing some tests with different Python and NumPy versions?).  We should try to simplify it as much as possible.",bug enhancement testing,,2020-03-18 20:57:06,2020-04-10 08:24:50,"brandonwillard labeled 2020-03-18 20:57:06,brandonwillard labeled 2020-03-18 20:57:06,twiecki closed 2020-04-10 08:24:50,brandonwillard labeled 2020-07-08 14:41:16",twiecki brandonwillard,0
10,10,"Use Numba, Cython, and JAX for Python-implemented Ops",brandonwillard,"[Here's](https://gist.github.com/nouiz/5492778) an old example of a Numba-enabled Theano `Op`.  We can most likely do something similar for Cython and JAX, as well.

As an extension to that example, it would be nice to have the compiled function be the `Op.perform` method itself; that way, we could attempt to compile existing `Op`s with little-to-no changes.",enhancement,,2020-06-07 22:19:28,2020-09-27 08:54:42,"brandonwillard labeled 2020-06-07 22:19:41,brandonwillard renamed 2020-06-08 18:06:41,nouiz mentioned 2020-06-08 18:08:46,nouiz subscribed 2020-06-08 18:08:46,dfm mentioned 2020-06-08 18:08:46,dfm subscribed 2020-06-08 18:08:46,nouiz mentioned 2020-07-27 14:57:48,nouiz subscribed 2020-07-27 14:57:48,brandonwillard connected 2020-07-31 22:19:41,twiecki mentioned 2020-08-05 11:36:25,twiecki subscribed 2020-08-05 11:36:25,twiecki mentioned 2020-08-05 22:05:58,twiecki subscribed 2020-08-05 22:05:58,junpenglao mentioned 2020-08-05 22:08:44,junpenglao subscribed 2020-08-05 22:08:44,twiecki closed 2020-09-27 08:54:42,twiecki referenced 2020-09-27 08:54:49",junpenglao nouiz brandonwillard dfm twiecki,23
11,11,"Add testing integration, PyPI release, and conda-forge package",twiecki,"In order to release we should have integration testing (I think theano used travis), as well as an upload to PyPI and a conda-forge package.",testing,brandonwillard,2020-07-03 14:31:14,2020-09-26 17:17:47,"dfm mentioned 2020-07-03 14:34:32,dfm subscribed 2020-07-03 14:34:33,brandonwillard pinned 2020-07-03 15:08:19,brandonwillard assigned 2020-07-06 08:39:28,brandonwillard labeled 2020-07-08 14:40:37,brandonwillard labeled 2020-07-08 14:43:31,twiecki closed 2020-09-26 17:17:47,brandonwillard unpinned 2020-09-28 05:17:56",canyon289 dfm twiecki brandonwillard,7
15,15,Add code coverage,brandonwillard,This project needs code coverage as part of its CI.,testing,,2020-07-07 00:37:00,2020-08-02 18:21:57,"brandonwillard labeled 2020-07-08 14:40:37,brandonwillard connected 2020-07-31 23:13:57,brandonwillard closed 2020-08-02 18:21:57",brandonwillard,0
16,17,"Add test, build, and coverage badges to the README",brandonwillard,"Badges are a simple and nice thing to have, so why not set it up?",enhancement,,2020-07-08 16:16:57,2020-08-02 18:21:57,"brandonwillard labeled 2020-07-08 16:16:57,brandonwillard connected 2020-08-02 18:13:57,brandonwillard closed 2020-08-02 18:21:57",brandonwillard,0
18,19,Add new Scan Op utils,brandonwillard,"Let's consider adding the `Scan` utilities from https://github.com/pymc-devs/symbolic-pymc/pull/114 (e.g. the improved `ScanArgs` class and `convert_outer_out_to_in` function).

These would also help with a much needed general refactoring and simplification of `Scan`.",enhancement,,2020-07-21 18:09:04,2021-07-29 23:18:05,"brandonwillard labeled 2020-07-21 18:09:41,brandonwillard closed 2021-07-29 23:18:05",ricardoV94 brandonwillard,2
22,23,Some tests take a long time,brandonwillard,"There are 920 tests generated and run in `test_sort.py`, so it takes a while to finish.  Are this many tests necessary?",question testing,,2020-08-01 04:14:18,2021-01-02 20:39:53,"brandonwillard renamed 2020-08-01 05:13:54,brandonwillard labeled 2020-08-01 05:14:20,brandonwillard labeled 2020-08-01 05:14:20,rpgoldman referenced 2020-12-19 21:51:46,rpgoldman referenced 2020-12-19 22:10:55,rpgoldman referenced 2020-12-20 14:48:47,rpgoldman referenced 2020-12-20 14:56:58,rpgoldman referenced 2020-12-20 15:03:45,rpgoldman referenced 2020-12-28 20:14:35,michaelosthege referenced 2020-12-31 15:05:42,rpgoldman referenced 2021-01-02 17:51:10,brandonwillard referenced 2021-01-02 19:09:55,brandonwillard closed 2021-01-02 20:39:53",rpgoldman michaelosthege brandonwillard,4
